maintenance_event_id,equipment_id,timestamp,maintenance_type,downtime_hours,restoration
ME_7B823AB4AEB0,EQUIP_04A6F7EED01E,2023-09-19 16:00:00,preventive,1.27,0.877
ME_9604F8740161,EQUIP_04A6F7EED01E,2023-11-11 08:00:00,emergency,11.96,0.615
ME_966774E1F488,EQUIP_04D59E3E6AD5,2023-01-01 22:00:00,emergency,8.19,0.596
ME_6A5B3EC4DBD5,EQUIP_04D59E3E6AD5,2023-02-09 07:00:00,preventive,0.99,0.935
ME_F6EE48334140,EQUIP_04D59E3E6AD5,2023-04-09 13:00:00,preventive,0.85,0.981
ME_5C2E1D07842C,EQUIP_04D59E3E6AD5,2023-06-25 09:00:00,preventive,0.97,0.941
ME_6BE0A3C69843,EQUIP_04D59E3E6AD5,2023-09-19 13:00:00,preventive,0.68,0.945
ME_7681DE836F69,EQUIP_04D59E3E6AD5,2023-11-25 15:00:00,preventive,1.22,0.994
ME_F98C5FDB28DE,EQUIP_063FF62F90F1,2023-02-18 09:00:00,preventive,2.04,0.949
ME_5D9A80031A67,EQUIP_063FF62F90F1,2023-04-21 11:00:00,corrective,3.75,0.836
ME_0466A5714269,EQUIP_063FF62F90F1,2023-05-15 10:00:00,preventive,1.57,0.973
ME_1C31AB31BD76,EQUIP_063FF62F90F1,2023-08-08 16:00:00,preventive,0.84,0.98
ME_8D7010E895CD,EQUIP_063FF62F90F1,2023-11-10 17:00:00,preventive,0.79,0.921
ME_5A3C25ED567F,EQUIP_06DF5824314A,2023-02-07 16:00:00,emergency,7.12,0.633
ME_6683A2ED3B40,EQUIP_06DF5824314A,2023-02-09 08:00:00,preventive,0.76,0.954
ME_281B0A99E5A5,EQUIP_06DF5824314A,2023-05-11 08:00:00,preventive,1.01,0.885
ME_FA232B10DDE9,EQUIP_06DF5824314A,2023-08-14 10:00:00,preventive,0.85,0.939
ME_8BCA587C5B88,EQUIP_06DF5824314A,2023-11-07 14:00:00,preventive,1.62,0.98
ME_2F16A130FA94,EQUIP_0729844AD9E6,2023-02-24 11:00:00,preventive,1.03,0.966
ME_9B1BC39EA832,EQUIP_0729844AD9E6,2023-05-13 13:00:00,preventive,2.13,0.947
ME_5A0165E9F7B5,EQUIP_0729844AD9E6,2023-07-05 17:00:00,corrective,6.68,0.778
ME_4EE80D310078,EQUIP_0729844AD9E6,2023-07-19 09:00:00,corrective,8.14,0.802
ME_D48CAA93C5E2,EQUIP_0729844AD9E6,2023-08-10 08:00:00,preventive,0.87,0.985
ME_BE942A127610,EQUIP_0729844AD9E6,2023-10-07 10:00:00,corrective,13.63,0.772
ME_8A5CD36374B5,EQUIP_0729844AD9E6,2023-11-25 10:00:00,preventive,1.17,0.99
ME_476EE701D9F4,EQUIP_0729844AD9E6,2023-12-24 12:00:00,corrective,9.03,0.793
ME_58622AD2DA1E,EQUIP_080418CB3E5D,2023-02-03 00:00:00,corrective,1.24,0.799
ME_F49B18DE07F1,EQUIP_080418CB3E5D,2023-03-23 16:00:00,preventive,0.87,0.972
ME_5C7E0F4A1A7D,EQUIP_080418CB3E5D,2023-09-24 16:00:00,preventive,0.64,0.96
ME_36DC3E35E02D,EQUIP_080418CB3E5D,2023-09-27 09:00:00,corrective,4.04,0.882
ME_DA382B1BBA23,EQUIP_090A6CA1F294,2023-02-06 12:00:00,preventive,1.14,0.931
ME_7635301C5EA0,EQUIP_090A6CA1F294,2023-04-05 16:00:00,preventive,1.01,0.955
ME_76C54AEEE238,EQUIP_090A6CA1F294,2023-05-31 08:00:00,preventive,1.23,0.939
ME_0DD17201C4CC,EQUIP_090A6CA1F294,2023-07-26 14:00:00,preventive,0.97,0.978
ME_BEAB3B26F2C0,EQUIP_090A6CA1F294,2023-09-26 18:00:00,preventive,0.71,0.944
ME_2CFF3C7E0F05,EQUIP_090A6CA1F294,2023-11-29 09:00:00,preventive,0.89,0.919
ME_3AFA2670DB6D,EQUIP_0A467CF30D35,2023-04-01 16:00:00,preventive,0.97,0.977
ME_B06EFD6A007A,EQUIP_0A467CF30D35,2023-09-16 17:00:00,preventive,0.54,0.948
ME_EA3401D482DD,EQUIP_0A467CF30D35,2023-10-26 15:00:00,corrective,3.66,0.786
ME_48A537DEC754,EQUIP_0B73E05B1248,2023-02-22 12:00:00,preventive,1.65,0.946
ME_5F61C6FEFEE8,EQUIP_0B73E05B1248,2023-06-18 17:00:00,preventive,0.65,0.936
ME_EBAADE02324B,EQUIP_0B73E05B1248,2023-10-21 14:00:00,preventive,0.95,0.962
ME_8F8BA3A99FD9,EQUIP_0B74811CED09,2023-03-28 12:00:00,preventive,0.8,0.944
ME_263833BF5046,EQUIP_0B74811CED09,2023-05-02 13:00:00,corrective,5.97,0.829
ME_2D36C3B836F1,EQUIP_0B74811CED09,2023-10-16 08:00:00,preventive,1.06,0.956
ME_1086DD4243BE,EQUIP_0B74811CED09,2023-12-27 07:00:00,emergency,13.03,0.51
ME_0FB1B400601E,EQUIP_0BAC215E26D9,2023-01-31 09:00:00,preventive,1.4,0.985
ME_42B799C221E6,EQUIP_0BAC215E26D9,2023-03-17 15:00:00,corrective,2.66,0.867
ME_4F91D5CAF417,EQUIP_0BAC215E26D9,2023-04-23 13:00:00,preventive,1.39,0.93
ME_641BCD3AFBFF,EQUIP_0BAC215E26D9,2023-06-22 09:00:00,emergency,6.58,0.568
ME_8162D9B195AD,EQUIP_0BAC215E26D9,2023-07-06 12:00:00,preventive,2.3,0.953
ME_6E366EEC389A,EQUIP_0BAC215E26D9,2023-08-02 08:00:00,emergency,5.63,0.548
ME_857CD2EB787C,EQUIP_0BAC215E26D9,2023-09-04 15:00:00,preventive,1.06,0.944
ME_BC79F7E6F51E,EQUIP_0BAC215E26D9,2023-10-06 00:00:00,emergency,1.65,0.493
ME_DE4859EB5294,EQUIP_0BAC215E26D9,2023-11-16 08:00:00,preventive,0.8,0.912
ME_5837A5459D6E,EQUIP_0BC006D383FC,2023-02-06 11:00:00,preventive,1.47,0.961
ME_4CE0CA9ED9ED,EQUIP_0BC006D383FC,2023-02-16 14:00:00,corrective,5.69,0.772
ME_DE31EBFB3146,EQUIP_0BC006D383FC,2023-03-04 22:00:00,corrective,1.26,0.771
ME_D57848D21925,EQUIP_0BC006D383FC,2023-04-04 17:00:00,preventive,0.79,0.981
ME_8503067C0B93,EQUIP_0BC006D383FC,2023-05-28 09:00:00,preventive,1.23,0.987
ME_E04B32E0FFC8,EQUIP_0BC006D383FC,2023-08-06 16:00:00,preventive,1.09,0.93
ME_C298FE13D817,EQUIP_0BC006D383FC,2023-09-30 11:00:00,preventive,0.85,0.958
ME_1369FF277AF0,EQUIP_0BC006D383FC,2023-11-28 15:00:00,preventive,0.96,0.989
ME_AECDF09E00CD,EQUIP_0E6EAB58A3A0,2023-03-08 03:00:00,emergency,17.81,0.666
ME_158B2D872CDD,EQUIP_0E6EAB58A3A0,2023-03-14 17:00:00,preventive,0.96,0.928
ME_0E6C8A76613B,EQUIP_0E6EAB58A3A0,2023-05-30 16:00:00,corrective,2.4,0.852
ME_481995262B5F,EQUIP_0E6EAB58A3A0,2023-07-09 17:00:00,emergency,22.83,0.573
ME_DEFBA20438B5,EQUIP_0E6EAB58A3A0,2023-08-08 09:00:00,emergency,3.73,0.463
ME_EBF15EC79B2F,EQUIP_0E6EAB58A3A0,2023-09-09 15:00:00,preventive,0.54,0.983
ME_23A79EF1F41E,EQUIP_0E6EAB58A3A0,2023-09-16 18:00:00,emergency,4.02,0.528
ME_15914E4D12D7,EQUIP_0E6EAB58A3A0,2023-12-21 02:00:00,emergency,4.83,0.494
ME_0830D050717D,EQUIP_0EDEEF802200,2023-02-02 18:00:00,preventive,0.69,0.971
ME_4CAC0C79A08A,EQUIP_0EDEEF802200,2023-02-16 03:00:00,emergency,3.2,0.543
ME_FA2662235344,EQUIP_0EDEEF802200,2023-03-15 15:00:00,emergency,10.37,0.491
ME_6D161315C760,EQUIP_0EDEEF802200,2023-05-18 18:00:00,preventive,0.84,0.989
ME_6BA6CA43AA8E,EQUIP_0EDEEF802200,2023-05-29 20:00:00,emergency,21.53,0.571
ME_32BE94074690,EQUIP_0EDEEF802200,2023-07-09 17:00:00,corrective,3.24,0.85
ME_C53232AB384C,EQUIP_0EDEEF802200,2023-08-26 17:00:00,preventive,1.84,0.939
ME_2CBA98CEDCA8,EQUIP_0EDEEF802200,2023-10-12 17:00:00,emergency,10.46,0.696
ME_2F61E0FEA26B,EQUIP_0EDEEF802200,2023-11-29 17:00:00,preventive,0.72,0.908
ME_14A1A5037E6D,EQUIP_0F265FCEA642,2023-01-13 14:00:00,corrective,5.89,0.751
ME_CD76A21923B6,EQUIP_0F265FCEA642,2023-01-28 14:00:00,preventive,1.45,0.98
ME_FF003A58A49A,EQUIP_0F265FCEA642,2023-03-30 10:00:00,preventive,1.21,0.955
ME_449B867C6B42,EQUIP_0F265FCEA642,2023-05-27 14:00:00,preventive,1.06,0.94
ME_2D2B33A90F23,EQUIP_0F265FCEA642,2023-08-06 15:00:00,preventive,0.97,0.896
ME_221E134DA4F6,EQUIP_0F265FCEA642,2023-09-22 10:00:00,corrective,2.47,0.921
ME_73C06197E06C,EQUIP_0F265FCEA642,2023-09-24 07:00:00,preventive,0.98,0.986
ME_2CAE3B61049C,EQUIP_0F265FCEA642,2023-12-07 16:00:00,preventive,0.99,0.969
ME_8E7E6D1072CD,EQUIP_0F6299DACFC9,2023-01-29 08:00:00,preventive,0.96,0.967
ME_C3D3254D585D,EQUIP_0F6299DACFC9,2023-02-01 05:00:00,corrective,2.21,0.726
ME_0914C4BCE9C6,EQUIP_0F6299DACFC9,2023-04-03 14:00:00,preventive,0.7,0.898
ME_F7954955C052,EQUIP_0F6299DACFC9,2023-06-09 07:00:00,preventive,1.11,0.936
ME_B5C606256A83,EQUIP_0F6299DACFC9,2023-08-04 07:00:00,preventive,0.5,0.926
ME_0D4331625AC2,EQUIP_0F6299DACFC9,2023-10-06 14:00:00,preventive,1.0,0.962
ME_ACC9A7019069,EQUIP_0F6299DACFC9,2023-12-06 17:00:00,preventive,0.87,0.924
ME_F17738303B4D,EQUIP_10A799D8B35F,2023-01-17 01:00:00,corrective,6.08,0.901
ME_E1F8DF384800,EQUIP_10A799D8B35F,2023-02-01 15:00:00,preventive,1.99,0.945
ME_25DC5BEBB5BF,EQUIP_10A799D8B35F,2023-03-28 14:00:00,preventive,0.62,0.973
ME_9B593F92E30B,EQUIP_10A799D8B35F,2023-06-03 08:00:00,preventive,1.73,0.958
ME_BE565DD90261,EQUIP_10A799D8B35F,2023-06-26 07:00:00,emergency,2.86,0.675
ME_D926CF0D1B0F,EQUIP_10A799D8B35F,2023-07-28 02:00:00,emergency,3.13,0.567
ME_24A3C118032E,EQUIP_10A799D8B35F,2023-07-28 18:00:00,preventive,0.98,0.919
ME_3C4DC5064EA0,EQUIP_10A799D8B35F,2023-09-18 21:00:00,emergency,21.99,0.586
ME_D67A1EAF84F6,EQUIP_10A799D8B35F,2023-09-28 17:00:00,preventive,1.17,0.952
ME_489D9867BCDD,EQUIP_10A799D8B35F,2023-12-04 07:00:00,preventive,0.78,0.96
ME_0A12DB8A381F,EQUIP_11E2572B4A88,2023-02-17 10:00:00,emergency,2.16,0.569
ME_959B4453CBCA,EQUIP_11E2572B4A88,2023-03-19 13:00:00,preventive,1.41,0.872
ME_280BC0A570D9,EQUIP_11E2572B4A88,2023-05-11 08:00:00,corrective,3.25,0.753
ME_85EE819BE822,EQUIP_11E2572B4A88,2023-09-03 05:00:00,corrective,2.62,0.876
ME_07E3BCEB2AEF,EQUIP_11E2572B4A88,2023-10-19 14:00:00,preventive,0.61,0.946
ME_2D591B73809A,EQUIP_11F8328AE17B,2023-04-01 08:00:00,preventive,1.25,0.925
ME_1D37B80F56EA,EQUIP_11F8328AE17B,2023-10-17 12:00:00,preventive,1.7,0.908
ME_7DC615DC2FCA,EQUIP_129C243FE06C,2023-02-13 15:00:00,preventive,0.77,0.916
ME_CFEABA6B46A0,EQUIP_129C243FE06C,2023-04-14 15:00:00,preventive,1.03,0.99
ME_61A90AA33856,EQUIP_129C243FE06C,2023-07-02 22:00:00,emergency,13.81,0.554
ME_8F395554C9A4,EQUIP_129C243FE06C,2023-07-07 09:00:00,preventive,1.19,0.963
ME_E4E32515E1D6,EQUIP_129C243FE06C,2023-09-16 18:00:00,preventive,1.05,0.982
ME_FFD26C3E31DE,EQUIP_129C243FE06C,2023-12-04 12:00:00,preventive,0.94,0.943
ME_2AF49EB73B54,EQUIP_129C243FE06C,2023-12-17 13:00:00,emergency,7.71,0.515
ME_014BE9B0381B,EQUIP_13D76ED08A96,2023-02-06 15:00:00,preventive,1.48,0.974
ME_328795DA67BD,EQUIP_13D76ED08A96,2023-02-26 01:00:00,corrective,7.27,0.854
ME_124FF8DDABE9,EQUIP_13D76ED08A96,2023-05-16 05:00:00,corrective,2.08,0.827
ME_FE2D0BD39F8D,EQUIP_13D76ED08A96,2023-05-22 18:00:00,emergency,22.75,0.522
ME_AABF12AB1A48,EQUIP_13D76ED08A96,2023-05-31 08:00:00,preventive,0.87,0.956
ME_30CE3A7F2244,EQUIP_13D76ED08A96,2023-06-09 18:00:00,corrective,3.42,0.761
ME_76C42192DD73,EQUIP_13D76ED08A96,2023-08-27 11:00:00,preventive,0.72,0.981
ME_F4605CB38EA2,EQUIP_13D76ED08A96,2023-11-02 04:00:00,emergency,18.51,0.469
ME_6DA7AD9769D7,EQUIP_13D76ED08A96,2023-11-02 07:00:00,preventive,1.22,0.951
ME_6B581F9D9B87,EQUIP_14994040360A,2023-03-30 12:00:00,preventive,0.61,0.943
ME_07980DA7A134,EQUIP_14994040360A,2023-04-04 16:00:00,emergency,7.67,0.422
ME_729B30C975E9,EQUIP_14994040360A,2023-05-15 07:00:00,corrective,7.67,0.832
ME_B070B03A816E,EQUIP_14994040360A,2023-09-16 15:00:00,preventive,1.38,0.941
ME_C92CE9C83AB7,EQUIP_14994040360A,2023-10-18 20:00:00,emergency,38.66,0.442
ME_39CB8F4D3881,EQUIP_1626051D1ECF,2023-01-13 23:00:00,emergency,11.39,0.548
ME_B6AF4FF9692A,EQUIP_1626051D1ECF,2023-02-09 12:00:00,emergency,5.88,0.481
ME_6C63E7D4A4E9,EQUIP_1626051D1ECF,2023-02-12 15:00:00,preventive,1.51,0.98
ME_069D2E9BA7C4,EQUIP_1626051D1ECF,2023-02-22 22:00:00,emergency,5.55,0.51
ME_599D089FDEED,EQUIP_1626051D1ECF,2023-02-27 02:00:00,emergency,10.78,0.589
ME_6E284DF65866,EQUIP_1626051D1ECF,2023-03-21 04:00:00,corrective,2.24,0.772
ME_415110B972C7,EQUIP_1626051D1ECF,2023-04-09 08:00:00,preventive,0.8,0.953
ME_BAD2E6703F2F,EQUIP_1626051D1ECF,2023-05-22 19:00:00,emergency,1.94,0.561
ME_05C716D396CE,EQUIP_1626051D1ECF,2023-07-01 16:00:00,preventive,1.67,0.982
ME_ADDDB10C0A31,EQUIP_1626051D1ECF,2023-09-09 11:00:00,emergency,3.51,0.505
ME_6390AFBABE83,EQUIP_1626051D1ECF,2023-09-15 09:00:00,preventive,0.96,0.956
ME_341EF03E8342,EQUIP_1626051D1ECF,2023-11-16 08:00:00,preventive,0.79,0.954
ME_3FE0212A5AF1,EQUIP_16995835080C,2023-02-21 15:00:00,preventive,1.0,0.898
ME_FC1A6EB9A325,EQUIP_16995835080C,2023-03-31 03:00:00,corrective,4.98,0.909
ME_7C3E5E1E210C,EQUIP_16995835080C,2023-06-22 16:00:00,preventive,0.86,0.968
ME_DFDBCACDD571,EQUIP_16995835080C,2023-08-15 14:00:00,corrective,1.95,0.877
ME_DF6BD433C20C,EQUIP_16995835080C,2023-09-30 08:00:00,emergency,9.71,0.623
ME_B5953C0DB616,EQUIP_16995835080C,2023-11-06 13:00:00,preventive,1.07,0.967
ME_C66CCD09E9BF,EQUIP_16995835080C,2023-11-30 10:00:00,corrective,8.05,0.798
ME_6E26A157BA5C,EQUIP_1B69D7610F83,2023-02-16 05:00:00,emergency,26.44,0.499
ME_52D2AE146BFA,EQUIP_1B69D7610F83,2023-02-16 16:00:00,corrective,2.62,0.825
ME_5EEDD0AC6E73,EQUIP_1B69D7610F83,2023-04-14 11:00:00,emergency,7.31,0.481
ME_5DAA70A700E8,EQUIP_1B69D7610F83,2023-04-20 17:00:00,preventive,1.39,0.979
ME_F559009BE773,EQUIP_1B69D7610F83,2023-10-18 09:00:00,preventive,0.7,0.986
ME_8A3D770BADFF,EQUIP_1B69D7610F83,2023-11-23 16:00:00,emergency,16.75,0.476
ME_509F0736FD4D,EQUIP_1B69D7610F83,2023-11-30 18:00:00,emergency,13.96,0.639
ME_CC1CA8A52034,EQUIP_1BD7A492D117,2023-02-25 11:00:00,preventive,1.08,0.957
ME_892B4F82921F,EQUIP_1BD7A492D117,2023-05-16 14:00:00,preventive,0.92,0.956
ME_B4FC89989297,EQUIP_1BD7A492D117,2023-05-22 21:00:00,corrective,3.8,0.859
ME_4A1C5B335559,EQUIP_1BD7A492D117,2023-08-24 18:00:00,preventive,1.23,0.86
ME_1908BF4FD580,EQUIP_1BD7A492D117,2023-11-18 11:00:00,preventive,0.96,0.899
ME_DE0081DBFA18,EQUIP_1D7E0ECF5A77,2023-02-08 11:00:00,preventive,0.51,0.92
ME_CBFD54A96655,EQUIP_1D7E0ECF5A77,2023-05-25 15:00:00,preventive,1.06,0.912
ME_E56D457D5034,EQUIP_1D7E0ECF5A77,2023-08-16 10:00:00,preventive,0.95,0.926
ME_817BFC048286,EQUIP_1D7E0ECF5A77,2023-10-27 23:00:00,emergency,8.66,0.637
ME_83C13F72DEF8,EQUIP_1D7E0ECF5A77,2023-11-08 13:00:00,preventive,1.15,0.936
ME_C48726C4E59D,EQUIP_1D7E0ECF5A77,2023-12-14 04:00:00,corrective,1.44,0.744
ME_C0997C0E9AD5,EQUIP_1DB0520FC5EE,2023-02-06 18:00:00,preventive,0.58,0.926
ME_118B3CCBAF66,EQUIP_1DB0520FC5EE,2023-05-22 15:00:00,preventive,1.01,0.958
ME_2166F446C80C,EQUIP_1DB0520FC5EE,2023-08-14 18:00:00,preventive,1.01,0.983
ME_A60D2827601E,EQUIP_1DB0520FC5EE,2023-11-17 14:00:00,preventive,1.2,0.941
ME_E836E0349FBE,EQUIP_1F17E72BA6F1,2023-01-19 16:00:00,preventive,0.64,0.94
ME_A33CFB412127,EQUIP_1F17E72BA6F1,2023-03-12 17:00:00,preventive,1.23,0.926
ME_4E16C76259EF,EQUIP_1F17E72BA6F1,2023-04-14 08:00:00,emergency,9.39,0.425
ME_E64E7DCDE681,EQUIP_1F17E72BA6F1,2023-05-01 11:00:00,emergency,24.3,0.759
ME_CFF4EBEDF0A6,EQUIP_1F17E72BA6F1,2023-05-01 16:00:00,preventive,1.16,0.97
ME_CE477F54147A,EQUIP_1F17E72BA6F1,2023-06-02 16:00:00,preventive,0.75,0.868
ME_3EF184087BDC,EQUIP_1F17E72BA6F1,2023-07-29 17:00:00,preventive,0.73,0.99
ME_B6CB69EEDEDA,EQUIP_1F17E72BA6F1,2023-08-26 01:00:00,emergency,4.29,0.487
ME_22830CF5578B,EQUIP_1F17E72BA6F1,2023-09-07 15:00:00,emergency,7.96,0.385
ME_F38A71F786A0,EQUIP_1F17E72BA6F1,2023-09-11 07:00:00,preventive,1.6,0.975
ME_6346A011E56F,EQUIP_1F17E72BA6F1,2023-09-23 16:00:00,emergency,1.64,0.531
ME_45B53D918422,EQUIP_1F17E72BA6F1,2023-10-13 03:00:00,emergency,2.27,0.68
ME_423B0D31BEFB,EQUIP_1F17E72BA6F1,2023-10-26 18:00:00,preventive,1.23,0.923
ME_8D551CC31E5E,EQUIP_1F17E72BA6F1,2023-12-04 08:00:00,preventive,1.04,0.996
ME_866A5BED017B,EQUIP_1F29DE07DE0C,2023-02-16 16:00:00,preventive,1.03,0.953
ME_B35EF82A4C76,EQUIP_1F29DE07DE0C,2023-05-26 10:00:00,preventive,1.75,0.914
ME_41ECCD7FE1EE,EQUIP_1F29DE07DE0C,2023-08-08 12:00:00,preventive,1.15,0.942
ME_ED653E1E31F5,EQUIP_1F29DE07DE0C,2023-10-14 07:00:00,corrective,10.02,0.934
ME_0579D3E30DBD,EQUIP_1F29DE07DE0C,2023-11-08 11:00:00,preventive,0.76,0.993
ME_B831FAC6F307,EQUIP_1F471D023F96,2023-02-03 15:00:00,preventive,0.81,0.98
ME_F77CD0AA6CFF,EQUIP_1F471D023F96,2023-02-20 15:00:00,emergency,28.37,0.566
ME_452124A3B6E9,EQUIP_1F471D023F96,2023-04-04 09:00:00,preventive,0.78,0.964
ME_C435794AA80A,EQUIP_1F471D023F96,2023-04-24 03:00:00,corrective,6.71,0.82
ME_3453A97CEDC6,EQUIP_1F471D023F96,2023-06-06 08:00:00,preventive,1.23,0.952
ME_447622CE9F8B,EQUIP_1F471D023F96,2023-08-02 12:00:00,preventive,0.74,0.97
ME_2F390153D091,EQUIP_1F471D023F96,2023-10-01 09:00:00,preventive,1.15,0.914
ME_8B81173E864C,EQUIP_1F471D023F96,2023-12-06 08:00:00,preventive,1.93,0.908
ME_B0E3ACEBC089,EQUIP_202A69F3C146,2023-04-23 15:00:00,preventive,1.02,0.987
ME_8895DEC77ED5,EQUIP_202A69F3C146,2023-08-26 01:00:00,emergency,7.57,0.425
ME_10D4D37FA75C,EQUIP_202A69F3C146,2023-10-09 10:00:00,preventive,0.63,0.952
ME_B3A903279C45,EQUIP_21C6BA712CC7,2023-04-22 09:00:00,preventive,0.97,0.949
ME_B86C298CDA56,EQUIP_21C6BA712CC7,2023-10-12 13:00:00,preventive,1.21,0.969
ME_B09DA73A0D55,EQUIP_220D1A8B2DF2,2023-01-08 00:00:00,corrective,5.75,0.717
ME_1AE59B2D05AA,EQUIP_220D1A8B2DF2,2023-01-24 11:00:00,preventive,0.85,0.909
ME_8CE47BF1A012,EQUIP_220D1A8B2DF2,2023-03-09 16:00:00,corrective,2.55,0.914
ME_9C9120343504,EQUIP_220D1A8B2DF2,2023-03-28 07:00:00,preventive,2.24,0.956
ME_21F89E753441,EQUIP_220D1A8B2DF2,2023-04-10 22:00:00,corrective,8.77,0.856
ME_A37E5F056445,EQUIP_220D1A8B2DF2,2023-04-20 07:00:00,corrective,5.92,0.785
ME_A25238F264E9,EQUIP_220D1A8B2DF2,2023-06-03 09:00:00,preventive,1.34,0.934
ME_94999FCCC18C,EQUIP_220D1A8B2DF2,2023-07-12 20:00:00,corrective,1.94,0.793
ME_C44391C50709,EQUIP_220D1A8B2DF2,2023-07-26 13:00:00,preventive,0.84,0.96
ME_A53F1117EA5F,EQUIP_220D1A8B2DF2,2023-10-05 12:00:00,preventive,1.57,0.944
ME_E4BC327C954D,EQUIP_220D1A8B2DF2,2023-11-24 10:00:00,preventive,1.21,0.991
ME_93868FA49E1B,EQUIP_250B894B6DAC,2023-02-03 11:00:00,preventive,0.92,0.923
ME_F3D6B91A0C4D,EQUIP_250B894B6DAC,2023-04-05 11:00:00,preventive,0.65,0.976
ME_4CE73C1DA27F,EQUIP_250B894B6DAC,2023-06-02 14:00:00,preventive,1.06,0.983
ME_90C24EB055E7,EQUIP_250B894B6DAC,2023-08-06 16:00:00,preventive,0.84,0.893
ME_4971C6D2906E,EQUIP_250B894B6DAC,2023-10-01 09:00:00,preventive,0.71,0.97
ME_DB1BDF7C5DC7,EQUIP_250B894B6DAC,2023-10-21 02:00:00,corrective,11.08,0.821
ME_3D740E447210,EQUIP_250B894B6DAC,2023-12-07 11:00:00,preventive,0.93,0.956
ME_4EEF841B45BD,EQUIP_2744A3FB9906,2023-02-11 17:00:00,preventive,1.22,0.97
ME_E53F0A760151,EQUIP_2744A3FB9906,2023-05-28 09:00:00,preventive,1.14,0.994
ME_CE5BB27BE929,EQUIP_2744A3FB9906,2023-05-30 06:00:00,corrective,2.07,0.767
ME_6FFA570D500B,EQUIP_2744A3FB9906,2023-06-03 09:00:00,emergency,14.49,0.58
ME_C30D808AEDF1,EQUIP_2744A3FB9906,2023-08-09 12:00:00,preventive,1.28,0.942
ME_BCC1E0EBE542,EQUIP_2744A3FB9906,2023-11-14 14:00:00,preventive,0.56,0.874
ME_8EA0A408A276,EQUIP_2744A3FB9906,2023-11-18 19:00:00,corrective,4.29,0.685
ME_6F3C476A84D9,EQUIP_28EC680358D3,2023-03-27 07:00:00,preventive,0.76,0.994
ME_5F293E84B668,EQUIP_28EC680358D3,2023-03-28 03:00:00,emergency,25.86,0.563
ME_1E0E77B47414,EQUIP_28EC680358D3,2023-07-18 03:00:00,emergency,26.45,0.671
ME_082BC59AF2AF,EQUIP_28EC680358D3,2023-09-18 14:00:00,preventive,0.77,0.973
ME_56B6767077A8,EQUIP_296D6B2E9437,2023-02-04 17:00:00,preventive,0.38,0.962
ME_68A9FC9DFBAC,EQUIP_296D6B2E9437,2023-03-07 23:00:00,emergency,12.6,0.42
ME_8300691FEE28,EQUIP_296D6B2E9437,2023-04-09 11:00:00,preventive,1.5,0.982
ME_DF1C53D4E63D,EQUIP_296D6B2E9437,2023-07-06 18:00:00,preventive,1.16,0.968
ME_3AB86E2A3EF5,EQUIP_296D6B2E9437,2023-07-17 15:00:00,corrective,2.46,0.724
ME_CE2E2A643444,EQUIP_296D6B2E9437,2023-09-22 13:00:00,preventive,0.61,0.942
