site_id,timestamp,dry_bulb_temp,relative_humidity,solar_irradiance,rainfall,cloud_cover,wind_speed,cooling_degree,apparent_temp,is_holiday,day_of_week,hour_of_day,month
SITE_0001,2023-01-04 03:00:00,26.97,85.42,23.06,2.03,42.5,3.72,0.47,30.37,0,3,3,1
SITE_0001,2023-01-04 04:00:00,27.64,88.22,13.72,0.0,25.5,3.78,1.14,31.74,0,3,4,1
SITE_0001,2023-01-04 05:00:00,26.77,81.52,0.0,0.0,9.4,3.19,0.27,29.97,0,3,5,1
SITE_0001,2023-01-04 06:00:00,28.33,79.63,0.0,0.0,64.4,0.95,1.83,33.76,0,3,6,1
SITE_0001,2023-01-04 07:00:00,28.73,78.64,99.58,0.37,39.5,2.13,2.23,33.44,0,3,7,1
SITE_0001,2023-01-04 08:00:00,29.36,73.98,252.1,7.64,47.3,1.92,2.86,33.97,0,3,8,1
SITE_0001,2023-01-04 09:00:00,29.15,72.83,455.43,1.0,28.1,1.33,2.65,33.9,0,3,9,1
SITE_0001,2023-01-04 10:00:00,28.09,74.22,473.27,0.0,40.6,4.06,1.59,30.52,0,3,10,1
SITE_0001,2023-01-04 11:00:00,28.52,73.97,628.82,0.42,29.0,1.69,2.02,32.82,0,3,11,1
SITE_0001,2023-01-04 12:00:00,27.19,79.96,312.72,0.0,64.7,2.97,0.69,30.59,0,3,12,1
SITE_0001,2023-01-04 13:00:00,27.33,89.98,372.99,0.0,56.8,1.38,0.83,33.12,0,3,13,1
SITE_0001,2023-01-04 14:00:00,25.96,89.4,527.28,0.0,28.7,1.61,0.0,30.7,0,3,14,1
SITE_0001,2023-01-04 15:00:00,25.13,93.61,297.67,0.0,53.2,4.66,0.0,27.7,0,3,15,1
SITE_0001,2023-01-04 16:00:00,25.2,89.47,178.18,0.0,62.8,1.32,0.0,29.71,0,3,16,1
SITE_0001,2023-01-04 17:00:00,25.03,86.42,206.5,0.0,19.3,5.78,0.0,26.01,0,3,17,1
SITE_0001,2023-01-04 18:00:00,24.08,88.58,0.0,0.0,30.2,1.66,0.0,27.66,0,3,18,1
SITE_0001,2023-01-04 19:00:00,23.63,87.94,5.41,0.0,27.5,2.17,0.0,26.56,0,3,19,1
SITE_0001,2023-01-04 20:00:00,23.76,84.57,15.11,0.0,31.3,2.86,0.0,25.94,0,3,20,1
SITE_0001,2023-01-04 21:00:00,23.43,84.96,0.0,0.0,51.3,2.92,0.0,25.45,0,3,21,1
SITE_0001,2023-01-04 22:00:00,23.28,85.68,0.0,1.83,28.6,0.99,0.0,26.64,0,3,22,1
SITE_0001,2023-01-04 23:00:00,22.63,87.7,5.35,0.0,22.9,8.95,0.0,20.29,0,3,23,1
SITE_0001,2023-01-05 00:00:00,22.03,86.44,0.0,0.0,33.9,3.25,0.0,23.29,0,4,0,1
SITE_0001,2023-01-05 01:00:00,23.22,89.22,48.68,0.0,29.1,0.92,0.0,26.93,0,4,1,1
SITE_0001,2023-01-05 02:00:00,22.8,88.8,9.76,0.0,41.3,4.9,0.0,23.48,0,4,2,1
SITE_0001,2023-01-05 03:00:00,23.36,87.31,11.77,0.0,31.1,1.9,0.0,26.28,0,4,3,1
SITE_0001,2023-01-05 04:00:00,23.93,87.21,0.0,0.0,55.5,2.67,0.0,26.59,0,4,4,1
SITE_0001,2023-01-05 05:00:00,24.7,87.13,26.02,0.05,36.2,1.59,0.0,28.51,0,4,5,1
SITE_0001,2023-01-05 06:00:00,25.55,88.81,0.0,0.0,44.9,3.37,0.0,28.75,0,4,6,1
SITE_0001,2023-01-05 07:00:00,24.88,85.36,83.17,2.36,51.6,3.94,0.0,26.96,0,4,7,1
SITE_0001,2023-01-05 08:00:00,25.37,85.42,254.85,0.51,41.2,2.72,0.0,28.57,0,4,8,1
SITE_0001,2023-01-05 09:00:00,25.45,83.56,437.24,4.03,32.8,2.63,0.0,28.55,0,4,9,1
SITE_0001,2023-01-05 10:00:00,25.47,86.76,511.33,0.0,33.3,1.69,0.0,29.59,0,4,10,1
SITE_0001,2023-01-05 11:00:00,26.4,88.53,360.95,2.25,60.8,0.98,0.0,31.74,0,4,11,1
SITE_0001,2023-01-05 12:00:00,25.22,91.7,450.69,0.49,49.8,2.56,0.0,29.11,0,4,12,1
SITE_0001,2023-01-05 13:00:00,25.31,90.05,301.29,2.57,66.7,2.48,0.0,29.13,0,4,13,1
SITE_0001,2023-01-05 14:00:00,26.71,92.87,271.15,0.0,63.9,1.36,0.21,32.47,0,4,14,1
SITE_0001,2023-01-05 15:00:00,26.43,91.43,243.62,1.51,56.4,4.78,0.0,29.45,0,4,15,1
SITE_0001,2023-01-05 16:00:00,25.94,92.91,422.0,0.0,5.2,3.05,0.0,30.04,0,4,16,1
SITE_0001,2023-01-05 17:00:00,26.67,89.28,186.96,0.0,17.5,1.27,0.17,32.05,0,4,17,1
SITE_0001,2023-01-05 18:00:00,26.34,89.09,16.09,0.0,20.2,2.06,0.0,30.95,0,4,18,1
SITE_0001,2023-01-05 19:00:00,26.89,82.66,10.33,0.0,24.7,1.49,0.39,31.48,0,4,19,1
SITE_0001,2023-01-05 20:00:00,26.55,83.18,0.0,0.76,42.4,2.4,0.05,30.37,0,4,20,1
SITE_0001,2023-01-05 21:00:00,26.93,81.86,0.0,0.0,31.8,1.7,0.43,31.3,0,4,21,1
SITE_0001,2023-01-05 22:00:00,26.18,81.87,30.08,0.0,36.2,0.59,0.0,30.92,0,4,22,1
SITE_0001,2023-01-05 23:00:00,26.9,86.07,0.0,0.32,8.9,1.85,0.4,31.64,0,4,23,1
SITE_0001,2023-01-06 00:00:00,26.2,84.53,9.71,0.0,39.0,1.51,0.0,30.6,0,5,0,1
SITE_0001,2023-01-06 01:00:00,25.89,85.51,0.0,1.55,29.4,2.34,0.0,29.65,0,5,1,1
SITE_0001,2023-01-06 02:00:00,24.9,87.53,0.0,0.0,36.4,3.18,0.0,27.74,0,5,2,1
SITE_0001,2023-01-06 03:00:00,25.52,84.89,0.0,0.0,57.4,3.03,0.0,28.52,0,5,3,1
SITE_0001,2023-01-06 04:00:00,26.38,82.77,0.0,0.0,44.9,3.53,0.0,29.27,0,5,4,1
SITE_0001,2023-01-06 05:00:00,26.82,79.25,0.0,0.0,55.7,1.1,0.32,31.25,0,5,5,1
SITE_0001,2023-01-06 06:00:00,26.23,79.45,35.1,6.19,20.8,0.79,0.0,30.58,0,5,6,1
SITE_0001,2023-01-06 07:00:00,27.68,77.26,178.33,0.0,35.0,6.54,1.18,28.53,0,5,7,1
SITE_0001,2023-01-06 08:00:00,28.49,74.34,272.58,0.0,33.7,2.34,1.99,32.36,0,5,8,1
SITE_0001,2023-01-06 09:00:00,27.5,76.36,204.63,2.75,70.1,1.76,1.0,31.49,0,5,9,1
SITE_0001,2023-01-06 10:00:00,27.72,80.23,293.09,0.0,65.0,0.89,1.22,32.91,0,5,10,1
SITE_0001,2023-01-06 11:00:00,26.72,78.64,528.48,2.07,40.4,1.55,0.22,30.71,0,5,11,1
SITE_0001,2023-01-06 12:00:00,26.21,74.93,674.83,0.0,28.0,1.43,0.0,29.6,0,5,12,1
SITE_0001,2023-01-06 13:00:00,26.68,71.56,244.28,0.0,71.2,2.33,0.18,29.29,0,5,13,1
SITE_0001,2023-01-06 14:00:00,26.67,76.24,645.26,0.19,17.2,1.6,0.17,30.32,0,5,14,1
SITE_0001,2023-01-06 15:00:00,27.18,78.18,200.02,0.0,66.6,5.51,0.68,28.59,0,5,15,1
SITE_0001,2023-01-06 16:00:00,27.36,78.34,246.7,0.0,49.5,3.04,0.86,30.62,0,5,16,1
SITE_0001,2023-01-06 17:00:00,25.87,78.18,146.89,2.05,36.3,3.04,0.0,28.32,0,5,17,1
SITE_0001,2023-01-06 18:00:00,24.84,82.91,25.73,0.0,49.3,3.79,0.0,26.75,0,5,18,1
SITE_0001,2023-01-06 19:00:00,24.55,85.27,0.0,1.98,17.1,3.35,0.0,26.86,0,5,19,1
SITE_0001,2023-01-06 20:00:00,23.95,88.37,13.63,0.0,39.4,2.26,0.0,27.02,0,5,20,1
SITE_0001,2023-01-06 21:00:00,24.29,90.44,1.92,1.14,32.3,1.77,0.0,28.09,0,5,21,1
SITE_0001,2023-01-06 22:00:00,24.25,85.12,0.0,0.0,59.2,2.38,0.0,27.07,0,5,22,1
SITE_0001,2023-01-06 23:00:00,24.8,79.08,20.87,0.0,30.2,3.43,0.0,26.54,0,5,23,1
SITE_0001,2023-01-07 00:00:00,25.18,76.12,14.27,0.0,48.8,2.28,0.0,27.6,0,6,0,1
SITE_0001,2023-01-07 01:00:00,25.95,76.8,0.0,0.0,32.4,3.53,0.0,27.95,0,6,1,1
SITE_0001,2023-01-07 02:00:00,26.03,73.56,0.0,0.0,13.6,3.31,0.0,27.86,0,6,2,1
SITE_0001,2023-01-07 03:00:00,25.95,72.66,0.0,0.0,24.9,0.85,0.0,29.37,0,6,3,1
SITE_0001,2023-01-07 04:00:00,25.48,70.94,0.0,0.0,50.2,1.47,0.0,28.06,0,6,4,1
SITE_0001,2023-01-07 05:00:00,27.81,69.6,32.42,1.87,57.5,1.02,1.31,31.65,0,6,5,1
SITE_0001,2023-01-07 06:00:00,27.71,68.45,23.78,0.0,30.4,4.53,1.21,28.91,0,6,6,1
SITE_0001,2023-01-07 07:00:00,27.85,66.27,112.18,0.0,47.1,3.05,1.35,29.88,0,6,7,1
SITE_0001,2023-01-07 08:00:00,28.3,63.08,201.52,0.0,63.2,1.64,1.8,31.13,0,6,8,1
SITE_0001,2023-01-07 09:00:00,28.21,66.78,363.19,0.0,45.0,6.08,1.71,28.36,0,6,9,1
SITE_0001,2023-01-07 10:00:00,28.02,67.42,614.38,0.0,19.3,2.19,1.52,30.88,0,6,10,1
SITE_0001,2023-01-07 11:00:00,29.12,68.97,491.71,0.0,43.4,4.03,2.62,31.45,0,6,11,1
SITE_0001,2023-01-07 12:00:00,30.53,70.37,626.58,0.0,32.7,3.13,4.03,34.46,0,6,12,1
SITE_0001,2023-01-07 13:00:00,31.2,75.02,580.36,3.44,34.6,3.87,4.7,35.7,0,6,13,1
SITE_0001,2023-01-07 14:00:00,30.69,80.14,275.4,0.0,63.0,2.83,4.19,36.34,0,6,14,1
SITE_0001,2023-01-07 15:00:00,29.61,78.83,457.29,0.0,29.7,2.74,3.11,34.45,0,6,15,1
SITE_0001,2023-01-07 16:00:00,29.19,79.85,285.91,0.0,40.1,1.06,2.69,35.08,0,6,16,1
SITE_0001,2023-01-07 17:00:00,28.52,81.81,86.44,2.12,51.3,4.7,2.02,31.71,0,6,17,1
SITE_0001,2023-01-07 18:00:00,28.17,88.03,5.58,0.0,38.6,3.02,1.67,33.11,0,6,18,1
SITE_0001,2023-01-07 19:00:00,27.8,86.02,21.47,0.0,42.9,1.33,1.3,33.44,0,6,19,1
SITE_0001,2023-01-07 20:00:00,27.52,83.7,0.0,2.44,57.9,1.68,1.02,32.46,0,6,20,1
SITE_0001,2023-01-07 21:00:00,27.19,77.88,21.6,0.0,51.0,0.95,0.69,31.76,0,6,21,1
SITE_0001,2023-01-07 22:00:00,26.61,74.75,12.97,0.0,37.3,3.65,0.11,28.62,0,6,22,1
SITE_0001,2023-01-07 23:00:00,27.28,80.72,0.0,2.99,36.7,2.1,0.78,31.43,0,6,23,1
SITE_0001,2023-01-08 00:00:00,26.0,79.37,4.87,2.38,39.3,1.97,0.0,29.4,0,7,0,1
SITE_0001,2023-01-08 01:00:00,25.83,80.7,0.0,1.7,54.3,2.87,0.0,28.66,0,7,1,1
SITE_0001,2023-01-08 02:00:00,25.95,83.01,8.95,4.91,48.5,3.07,0.0,28.95,0,7,2,1
SITE_0001,2023-01-08 03:00:00,26.97,83.93,0.0,0.0,24.5,2.68,0.47,30.92,0,7,3,1
SITE_0001,2023-01-08 04:00:00,26.65,78.87,0.0,0.0,35.3,2.21,0.15,30.17,0,7,4,1
SITE_0001,2023-01-08 05:00:00,26.07,79.47,19.92,0.0,30.5,1.94,0.0,29.54,0,7,5,1
SITE_0001,2023-01-08 06:00:00,26.67,77.29,49.45,3.99,29.7,1.74,0.17,30.34,0,7,6,1
SITE_0001,2023-01-08 07:00:00,26.6,72.76,141.32,0.0,39.3,1.25,0.1,30.06,0,7,7,1
SITE_0001,2023-01-08 08:00:00,28.16,75.33,285.39,0.0,36.7,2.47,1.66,31.88,0,7,8,1
SITE_0001,2023-01-08 09:00:00,26.94,74.73,426.72,0.0,29.8,1.93,0.44,30.32,0,7,9,1
SITE_0001,2023-01-08 10:00:00,28.33,77.94,546.14,0.0,31.4,4.48,1.83,31.07,0,7,10,1
SITE_0001,2023-01-08 11:00:00,28.77,78.91,619.89,0.0,30.3,2.71,2.27,33.13,0,7,11,1
SITE_0001,2023-01-08 12:00:00,29.09,81.61,388.0,0.0,55.7,4.3,2.59,32.89,0,7,12,1
SITE_0001,2023-01-08 13:00:00,28.84,88.26,645.86,0.0,29.7,2.46,2.34,34.64,0,7,13,1
SITE_0001,2023-01-08 14:00:00,27.9,85.99,513.55,0.0,35.2,2.89,1.4,32.51,0,7,14,1
SITE_0001,2023-01-08 15:00:00,27.12,85.82,212.11,0.0,72.1,2.77,0.62,31.32,0,7,15,1
SITE_0001,2023-01-08 16:00:00,26.84,86.34,208.14,0.2,49.2,1.96,0.34,31.5,0,7,16,1
SITE_0001,2023-01-08 17:00:00,27.19,89.23,186.95,0.0,12.0,1.02,0.69,33.06,0,7,17,1
SITE_0001,2023-01-08 18:00:00,28.28,88.76,0.0,0.0,66.7,1.67,1.78,34.33,0,7,18,1
SITE_0001,2023-01-08 19:00:00,28.32,88.47,0.0,3.33,48.0,4.43,1.82,32.43,0,7,19,1
SITE_0001,2023-01-08 20:00:00,28.21,88.49,0.0,4.42,31.7,2.2,1.71,33.81,0,7,20,1
SITE_0001,2023-01-08 21:00:00,27.75,90.91,4.7,2.32,6.5,1.25,1.25,34.01,0,7,21,1
SITE_0001,2023-01-08 22:00:00,26.46,92.09,6.93,0.0,33.0,2.17,0.0,31.4,0,7,22,1
SITE_0001,2023-01-08 23:00:00,26.71,90.54,19.93,0.0,20.8,1.74,0.21,31.93,0,7,23,1
SITE_0001,2023-01-09 00:00:00,25.49,87.82,17.0,0.0,62.5,1.87,0.0,29.6,0,1,0,1
SITE_0001,2023-01-09 01:00:00,25.11,87.01,7.64,0.0,71.2,2.76,0.0,28.31,0,1,1,1
SITE_0001,2023-01-09 02:00:00,25.83,87.29,0.0,0.0,36.1,2.15,0.0,29.88,0,1,2,1
SITE_0001,2023-01-09 03:00:00,25.96,87.97,14.65,0.0,40.8,2.14,0.0,30.17,0,1,3,1
SITE_0001,2023-01-09 04:00:00,26.39,80.1,6.93,0.0,53.7,3.67,0.0,28.88,0,1,4,1
SITE_0001,2023-01-09 05:00:00,24.93,85.0,22.16,2.94,37.9,1.32,0.0,28.83,0,1,5,1
SITE_0001,2023-01-09 06:00:00,25.0,82.95,21.46,0.0,30.2,2.05,0.0,28.21,0,1,6,1
SITE_0001,2023-01-09 07:00:00,26.35,77.33,181.0,0.0,39.5,3.6,0.0,28.56,0,1,7,1
SITE_0001,2023-01-09 08:00:00,27.11,74.91,269.45,0.52,41.0,2.79,0.61,30.0,0,1,8,1
SITE_0001,2023-01-09 09:00:00,27.95,80.05,497.35,0.0,22.8,1.53,1.45,32.8,0,1,9,1
SITE_0001,2023-01-09 10:00:00,27.88,81.15,438.68,0.0,44.8,4.99,1.38,30.41,0,1,10,1
SITE_0001,2023-01-09 11:00:00,28.06,80.5,419.34,0.0,54.5,1.2,1.56,33.26,0,1,11,1
SITE_0001,2023-01-09 12:00:00,28.29,83.05,608.01,1.96,35.5,2.06,1.79,33.35,0,1,12,1
SITE_0001,2023-01-09 13:00:00,27.13,78.23,668.27,1.3,26.7,1.02,0.63,31.66,0,1,13,1
SITE_0001,2023-01-09 14:00:00,28.07,82.65,592.98,1.27,29.7,3.64,1.57,31.84,0,1,14,1
SITE_0001,2023-01-09 15:00:00,27.35,83.23,461.91,0.15,22.6,4.58,0.85,30.11,0,1,15,1
SITE_0001,2023-01-09 16:00:00,27.98,85.65,247.02,0.0,48.9,3.25,1.48,32.34,0,1,16,1
SITE_0001,2023-01-09 17:00:00,27.68,86.38,126.78,0.0,39.1,1.93,1.18,32.87,0,1,17,1
SITE_0001,2023-01-09 18:00:00,26.11,86.56,0.0,5.11,25.2,2.44,0.0,30.04,0,1,18,1
SITE_0001,2023-01-09 19:00:00,27.0,88.54,0.0,0.0,31.0,2.08,0.5,31.93,0,1,19,1
SITE_0001,2023-01-09 20:00:00,26.65,84.85,36.93,0.0,48.3,2.49,0.15,30.66,0,1,20,1
SITE_0001,2023-01-09 21:00:00,26.65,82.07,0.0,1.86,61.0,1.67,0.15,30.91,0,1,21,1
SITE_0001,2023-01-09 22:00:00,26.54,83.35,0.81,0.0,40.7,1.57,0.04,30.96,0,1,22,1
SITE_0001,2023-01-09 23:00:00,25.97,79.28,0.0,0.0,66.2,1.57,0.0,29.62,0,1,23,1
SITE_0001,2023-01-10 00:00:00,25.46,83.0,24.95,2.24,35.6,1.59,0.0,29.24,0,2,0,1
SITE_0001,2023-01-10 01:00:00,26.88,80.51,0.0,2.59,47.9,1.86,0.38,30.95,0,2,1,1
SITE_0001,2023-01-10 02:00:00,26.62,81.06,44.21,0.0,54.5,1.68,0.12,30.74,0,2,2,1
SITE_0001,2023-01-10 03:00:00,25.7,80.66,0.0,0.0,78.7,5.05,0.0,26.93,0,2,3,1
SITE_0001,2023-01-10 04:00:00,27.29,78.73,32.57,0.0,48.5,1.84,0.79,31.39,0,2,4,1
SITE_0001,2023-01-10 05:00:00,27.57,75.93,0.0,1.81,24.8,1.21,1.07,31.93,0,2,5,1
SITE_0001,2023-01-10 06:00:00,27.41,73.18,20.62,2.61,50.5,2.35,0.91,30.56,0,2,6,1
SITE_0001,2023-01-10 07:00:00,29.48,76.14,215.38,0.0,21.9,2.74,2.98,33.87,0,2,7,1
SITE_0001,2023-01-10 08:00:00,29.03,75.16,233.72,0.0,48.4,2.91,2.53,32.91,0,2,8,1
SITE_0001,2023-01-10 09:00:00,28.45,75.86,514.53,0.0,18.8,1.42,1.95,33.14,0,2,9,1
SITE_0001,2023-01-10 10:00:00,27.83,80.6,352.01,0.0,56.4,1.29,1.33,32.85,0,2,10,1
SITE_0001,2023-01-10 11:00:00,27.48,84.44,549.73,2.08,42.1,2.71,0.98,31.77,0,2,11,1
SITE_0001,2023-01-10 12:00:00,27.17,85.54,440.29,0.0,48.7,1.43,0.67,32.3,0,2,12,1
SITE_0001,2023-01-10 13:00:00,26.59,84.38,524.46,0.0,41.3,1.46,0.09,31.23,0,2,13,1
