building_id,site_id,building_type,gross_floor_area,year_built,num_floors,occupancy_capacity,operating_schedule_type,hvac_system_type,lighting_power_density,plug_load_density,window_to_wall_ratio,infiltration_ach,orientation_deg,roof_exposure_factor,solar_pv_capacity,battery_capacity,critical_load_fraction,submetering_level
BLDG_C5E824E012AB,SITE_0004,education,23699.6,2017,4,4739,school_calendar,none,7.64,11.3,0.298,0.436,156.5,0.708,21.0,0.0,0.028,none
BLDG_97A6D867807A,SITE_0005,hospital,17068.0,1992,15,682,24_7,central_chiller,17.76,26.01,0.262,0.363,144.5,0.489,0.0,0.0,0.381,full
BLDG_51FCF39B49AD,SITE_0005,education,22570.0,2021,2,4514,school_calendar,none,8.66,8.84,0.25,0.63,154.3,0.732,0.0,0.0,0.032,partial
BLDG_13DD0E04671C,SITE_0005,office,10467.9,1995,27,1046,office_hours,central_chiller,12.61,10.84,0.499,0.733,33.5,0.681,39.8,19.5,0.05,partial
BLDG_0A98FB034BCD,SITE_0005,office,17069.9,2014,4,1706,office_hours,vrf,10.9,14.3,0.358,0.787,177.5,0.398,0.0,0.0,0.057,none
BLDG_8F5624D846EF,SITE_0005,office,17766.6,2012,26,1776,office_hours,central_chiller,9.53,16.04,0.509,0.625,200.1,0.667,0.0,0.0,0.053,none
BLDG_4FA9C5254239,SITE_0006,education,29642.8,2005,5,5928,school_calendar,none,12.23,11.24,0.403,0.975,181.2,0.832,0.0,0.0,0.03,none
BLDG_C6B297082F5D,SITE_0006,education,8146.2,2002,2,1629,school_calendar,central_chiller,11.21,8.65,0.407,0.62,27.8,0.614,0.0,0.0,0.025,partial
BLDG_5B49342E24B6,SITE_0006,retail,7711.4,1994,4,1927,retail_hours,split_ac,21.18,15.96,0.404,1.043,149.3,0.583,0.0,0.0,0.088,none
BLDG_CD80C6ACBFC2,SITE_0006,hospital,20258.3,2007,2,810,24_7,central_chiller,14.39,27.8,0.378,0.534,193.2,0.62,268.5,0.0,0.427,full
BLDG_A45B5D99DA5C,SITE_0006,hospital,40310.8,1995,13,1612,24_7,central_chiller,18.72,38.39,0.396,0.414,325.6,0.578,257.8,195.5,0.354,full
BLDG_B0BD29BB0A5C,SITE_0006,education,10142.0,2002,4,2028,school_calendar,central_chiller,11.14,10.82,0.313,0.466,7.0,0.716,0.0,0.0,0.032,none
BLDG_3B6A296EE843,SITE_0007,mixed_use,30415.1,1997,10,3649,extended_hours,vrf,10.15,15.01,0.637,0.803,279.2,0.323,0.0,0.0,0.103,partial
BLDG_B6C21509560D,SITE_0007,retail,45419.7,2010,4,11354,retail_hours,split_ac,24.24,17.97,0.496,1.331,87.2,0.779,0.0,0.0,0.082,none
BLDG_82BB59189544,SITE_0007,retail,2245.2,2012,5,561,retail_hours,split_ac,20.6,16.03,0.524,0.513,150.8,0.696,0.0,0.0,0.078,partial
BLDG_A882B7B29127,SITE_0007,office,14809.0,2002,22,1480,office_hours,split_ac,12.31,17.2,0.532,0.625,296.4,0.537,90.2,0.0,0.051,none
BLDG_C7F36F7B73E7,SITE_0007,retail,33475.8,1986,3,8368,retail_hours,split_ac,18.43,19.88,0.444,0.855,92.7,0.612,0.0,0.0,0.07,none
BLDG_E72986DD82A0,SITE_0007,office,5206.4,2016,15,520,office_hours,split_ac,11.89,10.4,0.443,0.798,160.9,0.307,0.0,0.0,0.046,partial
BLDG_D6784B58F566,SITE_0008,hotel,17865.1,2007,18,912,24_7,central_chiller,11.11,22.66,0.332,0.903,97.3,0.389,0.0,0.0,0.219,partial
BLDG_787E6697847E,SITE_0008,mixed_use,38084.2,1997,8,4570,extended_hours,central_chiller,16.59,17.91,0.406,0.796,45.4,0.234,0.0,0.0,0.085,full
BLDG_A09A2484C426,SITE_0008,hospital,43686.1,1991,9,1747,24_7,central_chiller,18.98,31.48,0.294,0.376,66.2,0.415,0.0,0.0,0.332,full
BLDG_45FF699F302D,SITE_0008,education,19068.6,1994,1,3813,school_calendar,none,7.82,8.94,0.326,1.195,42.5,0.806,0.0,0.0,0.029,none
BLDG_C4DFAF37662B,SITE_0008,mixed_use,36431.7,2022,12,4371,extended_hours,split_ac,14.29,13.48,0.384,0.686,56.2,0.506,81.0,0.0,0.108,full
BLDG_867652501462,SITE_0008,education,13893.9,1999,6,2778,school_calendar,none,12.08,10.51,0.406,0.929,335.2,0.67,0.0,0.0,0.034,none
BLDG_D673B0E04EF3,SITE_0009,office,1892.5,2004,7,189,office_hours,split_ac,12.17,16.24,0.576,0.607,168.3,0.422,0.0,0.0,0.049,full
BLDG_944E3E47B816,SITE_0009,office,12161.7,2012,30,1216,office_hours,vrf,13.14,14.04,0.308,0.46,242.1,0.644,0.0,0.0,0.052,full
BLDG_3EB04419BAFC,SITE_0009,retail,38202.8,2015,2,9550,retail_hours,central_chiller,18.75,21.63,0.339,1.497,156.5,0.826,0.0,0.0,0.074,partial
BLDG_40239C1D5245,SITE_0009,hotel,4033.4,2016,8,187,24_7,vrf,9.46,26.85,0.597,0.75,163.3,0.436,0.0,0.0,0.226,full
BLDG_2DCDC361AD13,SITE_0010,mixed_use,1044.9,2014,20,125,extended_hours,split_ac,16.86,16.93,0.453,0.789,43.6,0.93,0.0,0.0,0.081,partial
BLDG_66551E670BAD,SITE_0010,office,8455.8,1992,9,845,office_hours,split_ac,11.23,9.17,0.55,0.649,257.3,0.504,0.0,0.0,0.045,partial
BLDG_1E28F06AAB80,SITE_0010,office,11249.7,1997,14,1124,office_hours,split_ac,14.45,13.08,0.564,0.905,99.2,0.616,0.5,0.0,0.057,full
BLDG_C48962C98964,SITE_0010,office,11808.5,2016,23,1180,office_hours,split_ac,14.06,12.47,0.445,0.533,273.9,0.451,76.6,0.0,0.048,full
BLDG_78650260FAE1,SITE_0010,mixed_use,13408.9,2009,18,1609,extended_hours,central_chiller,15.4,19.06,0.46,0.806,147.2,0.691,0.0,0.0,0.091,full
BLDG_891911977426,SITE_0010,retail,31238.3,1990,4,7809,retail_hours,split_ac,23.07,27.79,0.63,0.88,113.7,0.787,0.0,0.0,0.072,none
