site_id,timestamp,tou_period,price_per_kwh,demand_charge_flag,dynamic_price_event_flag,carbon_intensity
SITE_0001,2023-01-03 04:00:00,off_peak,0.0593,0,0,0.5797
SITE_0001,2023-01-03 05:00:00,off_peak,0.0603,0,0,0.6321
SITE_0001,2023-01-03 06:00:00,shoulder,0.1108,0,0,0.5938
SITE_0001,2023-01-03 07:00:00,shoulder,0.1117,0,0,0.5865
SITE_0001,2023-01-03 08:00:00,peak,0.1675,1,0,0.5671
SITE_0001,2023-01-03 09:00:00,peak,0.1677,1,0,0.573
SITE_0001,2023-01-03 10:00:00,peak,0.1681,1,0,0.6288
SITE_0001,2023-01-03 11:00:00,peak,0.1657,1,0,0.5504
SITE_0001,2023-01-03 12:00:00,peak,0.1618,1,0,0.6053
SITE_0001,2023-01-03 13:00:00,shoulder,0.1084,1,0,0.5993
SITE_0001,2023-01-03 14:00:00,shoulder,0.1117,1,0,0.5886
SITE_0001,2023-01-03 15:00:00,shoulder,0.1114,1,0,0.5392
SITE_0001,2023-01-03 16:00:00,shoulder,0.1109,1,0,0.6458
SITE_0001,2023-01-03 17:00:00,peak,0.1648,1,0,0.5966
SITE_0001,2023-01-03 18:00:00,peak,0.1626,1,0,0.5998
SITE_0001,2023-01-03 19:00:00,peak,0.1675,1,0,0.5807
SITE_0001,2023-01-03 20:00:00,peak,0.1637,1,0,0.6312
SITE_0001,2023-01-03 21:00:00,peak,0.1635,1,0,0.6019
SITE_0001,2023-01-03 22:00:00,shoulder,0.1095,0,0,0.6009
SITE_0001,2023-01-03 23:00:00,off_peak,0.0607,0,0,0.5118
SITE_0001,2023-01-04 00:00:00,off_peak,0.061,0,0,0.6004
SITE_0001,2023-01-04 01:00:00,off_peak,0.0602,0,0,0.593
SITE_0001,2023-01-04 02:00:00,off_peak,0.0608,0,0,0.6098
SITE_0001,2023-01-04 03:00:00,off_peak,0.0596,0,0,0.6198
SITE_0001,2023-01-04 04:00:00,off_peak,0.0595,0,0,0.5522
SITE_0001,2023-01-04 05:00:00,off_peak,0.0598,0,0,0.5461
SITE_0001,2023-01-04 06:00:00,shoulder,0.1088,0,0,0.5697
SITE_0001,2023-01-04 07:00:00,shoulder,0.1086,0,0,0.5896
SITE_0001,2023-01-04 08:00:00,peak,0.1649,1,0,0.569
SITE_0001,2023-01-04 09:00:00,peak,0.1657,1,0,0.5893
SITE_0001,2023-01-04 10:00:00,peak,0.1652,1,0,0.5802
SITE_0001,2023-01-04 11:00:00,peak,0.163,1,0,0.5981
SITE_0001,2023-01-04 12:00:00,peak,0.1644,1,0,0.5889
SITE_0001,2023-01-04 13:00:00,shoulder,0.1119,1,0,0.5956
SITE_0001,2023-01-04 14:00:00,shoulder,0.1103,1,0,0.5745
SITE_0001,2023-01-04 15:00:00,shoulder,0.1078,1,0,0.5596
SITE_0001,2023-01-04 16:00:00,shoulder,0.112,1,0,0.588
SITE_0001,2023-01-04 17:00:00,peak,0.1679,1,0,0.6045
SITE_0001,2023-01-04 18:00:00,peak,0.167,1,0,0.6012
SITE_0001,2023-01-04 19:00:00,peak,0.1661,1,0,0.5987
SITE_0001,2023-01-04 20:00:00,peak,0.1661,1,0,0.6058
SITE_0001,2023-01-04 21:00:00,peak,0.163,1,0,0.6187
SITE_0001,2023-01-04 22:00:00,shoulder,0.1122,0,0,0.593
SITE_0001,2023-01-04 23:00:00,off_peak,0.0589,0,0,0.5846
SITE_0001,2023-01-05 00:00:00,off_peak,0.0604,0,0,0.5998
SITE_0001,2023-01-05 01:00:00,off_peak,0.061,0,0,0.5665
SITE_0001,2023-01-05 02:00:00,off_peak,0.0604,0,0,0.5577
SITE_0001,2023-01-05 03:00:00,off_peak,0.0588,0,0,0.5508
SITE_0001,2023-01-05 04:00:00,off_peak,0.0607,0,0,0.6011
SITE_0001,2023-01-05 05:00:00,off_peak,0.0605,0,0,0.5609
SITE_0001,2023-01-05 06:00:00,shoulder,0.1093,0,0,0.5764
SITE_0001,2023-01-05 07:00:00,shoulder,0.1119,0,0,0.5854
SITE_0001,2023-01-05 08:00:00,peak,0.1634,1,0,0.5974
SITE_0001,2023-01-05 09:00:00,peak,0.1621,1,0,0.592
SITE_0001,2023-01-05 10:00:00,peak,0.1661,1,0,0.5811
SITE_0001,2023-01-05 11:00:00,peak,0.1631,1,0,0.5781
SITE_0001,2023-01-05 12:00:00,peak,0.1619,1,0,0.5689
SITE_0001,2023-01-05 13:00:00,shoulder,0.1635,1,1,0.6391
SITE_0001,2023-01-05 14:00:00,shoulder,0.1097,1,0,0.6277
SITE_0001,2023-01-05 15:00:00,shoulder,0.1107,1,0,0.5519
SITE_0001,2023-01-05 16:00:00,shoulder,0.1094,1,0,0.5865
SITE_0001,2023-01-05 17:00:00,peak,0.1636,1,0,0.6037
SITE_0001,2023-01-05 18:00:00,peak,0.1673,1,0,0.6258
SITE_0001,2023-01-05 19:00:00,peak,0.1667,1,0,0.5939
SITE_0001,2023-01-05 20:00:00,peak,0.1671,1,0,0.5732
SITE_0001,2023-01-05 21:00:00,peak,0.163,1,0,0.5542
SITE_0001,2023-01-05 22:00:00,shoulder,0.1119,0,0,0.5704
SITE_0001,2023-01-05 23:00:00,off_peak,0.0605,0,0,0.6137
SITE_0001,2023-01-06 00:00:00,off_peak,0.06,0,0,0.5896
SITE_0001,2023-01-06 01:00:00,off_peak,0.0592,0,0,0.573
SITE_0001,2023-01-06 02:00:00,off_peak,0.0611,0,0,0.5977
SITE_0001,2023-01-06 03:00:00,off_peak,0.0607,0,0,0.5848
SITE_0001,2023-01-06 04:00:00,off_peak,0.0603,0,0,0.5621
SITE_0001,2023-01-06 05:00:00,off_peak,0.0609,0,0,0.5845
SITE_0001,2023-01-06 06:00:00,shoulder,0.1088,0,0,0.5748
SITE_0001,2023-01-06 07:00:00,shoulder,0.1624,0,1,0.6068
SITE_0001,2023-01-06 08:00:00,peak,0.1643,1,0,0.6049
SITE_0001,2023-01-06 09:00:00,peak,0.1651,1,0,0.5561
SITE_0001,2023-01-06 10:00:00,peak,0.1646,1,0,0.5777
SITE_0001,2023-01-06 11:00:00,peak,0.1633,1,0,0.5862
SITE_0001,2023-01-06 12:00:00,peak,0.1681,1,0,0.6103
SITE_0001,2023-01-06 13:00:00,shoulder,0.1113,1,0,0.6075
SITE_0001,2023-01-06 14:00:00,shoulder,0.1092,1,0,0.5629
SITE_0001,2023-01-06 15:00:00,shoulder,0.1102,1,0,0.5463
SITE_0001,2023-01-06 16:00:00,shoulder,0.1082,1,0,0.5816
SITE_0001,2023-01-06 17:00:00,peak,0.1662,1,0,0.5826
SITE_0001,2023-01-06 18:00:00,peak,0.1651,1,0,0.6142
SITE_0001,2023-01-06 19:00:00,peak,0.1641,1,0,0.5824
SITE_0001,2023-01-06 20:00:00,peak,0.1625,1,0,0.5717
SITE_0001,2023-01-06 21:00:00,peak,0.1645,1,0,0.5412
SITE_0001,2023-01-06 22:00:00,shoulder,0.1085,0,0,0.5471
SITE_0001,2023-01-06 23:00:00,off_peak,0.0609,0,0,0.563
SITE_0001,2023-01-07 00:00:00,off_peak,0.0606,0,0,0.606
SITE_0001,2023-01-07 01:00:00,off_peak,0.061,0,0,0.6122
SITE_0001,2023-01-07 02:00:00,off_peak,0.061,0,0,0.5678
SITE_0001,2023-01-07 03:00:00,off_peak,0.061,0,0,0.6196
SITE_0001,2023-01-07 04:00:00,off_peak,0.0608,0,0,0.5968
SITE_0001,2023-01-07 05:00:00,off_peak,0.0597,0,0,0.5905
SITE_0001,2023-01-07 06:00:00,shoulder,0.1116,0,0,0.5788
SITE_0001,2023-01-07 07:00:00,shoulder,0.1096,0,0,0.5875
SITE_0001,2023-01-07 08:00:00,peak,0.1652,1,0,0.5602
SITE_0001,2023-01-07 09:00:00,peak,0.1645,1,0,0.6131
SITE_0001,2023-01-07 10:00:00,peak,0.1642,1,0,0.5843
SITE_0001,2023-01-07 11:00:00,peak,0.1673,1,0,0.5614
SITE_0001,2023-01-07 12:00:00,peak,0.1624,1,0,0.5542
SITE_0001,2023-01-07 13:00:00,shoulder,0.112,1,0,0.5858
SITE_0001,2023-01-07 14:00:00,shoulder,0.1084,1,0,0.6232
SITE_0001,2023-01-07 15:00:00,shoulder,0.1091,1,0,0.6185
SITE_0001,2023-01-07 16:00:00,shoulder,0.1103,1,0,0.604
SITE_0001,2023-01-07 17:00:00,peak,0.1654,1,0,0.5802
SITE_0001,2023-01-07 18:00:00,peak,0.1627,1,0,0.5698
SITE_0001,2023-01-07 19:00:00,peak,0.1649,1,0,0.5236
SITE_0001,2023-01-07 20:00:00,peak,0.1663,1,0,0.597
SITE_0001,2023-01-07 21:00:00,peak,0.1619,1,0,0.5926
SITE_0001,2023-01-07 22:00:00,shoulder,0.1102,0,0,0.6181
SITE_0001,2023-01-07 23:00:00,off_peak,0.0612,0,0,0.5921
SITE_0001,2023-01-08 00:00:00,off_peak,0.0598,0,0,0.6031
SITE_0001,2023-01-08 01:00:00,off_peak,0.0603,0,0,0.6018
SITE_0001,2023-01-08 02:00:00,off_peak,0.0603,0,0,0.5364
SITE_0001,2023-01-08 03:00:00,off_peak,0.0591,0,0,0.562
SITE_0001,2023-01-08 04:00:00,off_peak,0.0597,0,0,0.5906
SITE_0001,2023-01-08 05:00:00,off_peak,0.0607,0,0,0.5987
SITE_0001,2023-01-08 06:00:00,shoulder,0.1109,0,0,0.5891
SITE_0001,2023-01-08 07:00:00,shoulder,0.1088,0,0,0.5606
SITE_0001,2023-01-08 08:00:00,peak,0.1632,1,0,0.6128
SITE_0001,2023-01-08 09:00:00,peak,0.1654,1,0,0.6076
SITE_0001,2023-01-08 10:00:00,peak,0.1634,1,0,0.6296
SITE_0001,2023-01-08 11:00:00,peak,0.163,1,0,0.6094
SITE_0001,2023-01-08 12:00:00,peak,0.1676,1,0,0.6044
SITE_0001,2023-01-08 13:00:00,shoulder,0.1111,1,0,0.5827
SITE_0001,2023-01-08 14:00:00,shoulder,0.1105,1,0,0.6207
SITE_0001,2023-01-08 15:00:00,shoulder,0.1104,1,0,0.5772
SITE_0001,2023-01-08 16:00:00,shoulder,0.1079,1,0,0.5941
SITE_0001,2023-01-08 17:00:00,peak,0.1622,1,0,0.5503
SITE_0001,2023-01-08 18:00:00,peak,0.1619,1,0,0.5506
SITE_0001,2023-01-08 19:00:00,peak,0.1682,1,0,0.5839
SITE_0001,2023-01-08 20:00:00,peak,0.1669,1,0,0.6139
SITE_0001,2023-01-08 21:00:00,peak,0.1678,1,0,0.5985
SITE_0001,2023-01-08 22:00:00,shoulder,0.1099,0,0,0.6012
SITE_0001,2023-01-08 23:00:00,off_peak,0.0609,0,0,0.5506
SITE_0001,2023-01-09 00:00:00,off_peak,0.0608,0,0,0.5725
SITE_0001,2023-01-09 01:00:00,off_peak,0.0598,0,0,0.5792
SITE_0001,2023-01-09 02:00:00,off_peak,0.0595,0,0,0.6014
SITE_0001,2023-01-09 03:00:00,off_peak,0.0611,0,0,0.5863
SITE_0001,2023-01-09 04:00:00,off_peak,0.0594,0,0,0.5785
SITE_0001,2023-01-09 05:00:00,off_peak,0.0605,0,0,0.5683
SITE_0001,2023-01-09 06:00:00,shoulder,0.112,0,0,0.605
SITE_0001,2023-01-09 07:00:00,shoulder,0.1102,0,0,0.6131
SITE_0001,2023-01-09 08:00:00,peak,0.1636,1,0,0.6223
SITE_0001,2023-01-09 09:00:00,peak,0.1662,1,0,0.5898
SITE_0001,2023-01-09 10:00:00,peak,0.1643,1,0,0.5687
SITE_0001,2023-01-09 11:00:00,peak,0.1653,1,0,0.604
SITE_0001,2023-01-09 12:00:00,peak,0.1659,1,0,0.5889
SITE_0001,2023-01-09 13:00:00,shoulder,0.1108,1,0,0.5854
SITE_0001,2023-01-09 14:00:00,shoulder,0.1111,1,0,0.6083
SITE_0001,2023-01-09 15:00:00,shoulder,0.1118,1,0,0.5829
SITE_0001,2023-01-09 16:00:00,shoulder,0.1116,1,0,0.5688
SITE_0001,2023-01-09 17:00:00,peak,0.1657,1,0,0.575
SITE_0001,2023-01-09 18:00:00,peak,0.164,1,0,0.6069
SITE_0001,2023-01-09 19:00:00,peak,0.1662,1,0,0.5546
SITE_0001,2023-01-09 20:00:00,peak,0.1671,1,0,0.5706
SITE_0001,2023-01-09 21:00:00,peak,0.1622,1,0,0.5418
SITE_0001,2023-01-09 22:00:00,shoulder,0.1097,0,0,0.534
SITE_0001,2023-01-09 23:00:00,off_peak,0.0608,0,0,0.579
SITE_0001,2023-01-10 00:00:00,off_peak,0.0893,0,1,0.5786
SITE_0001,2023-01-10 01:00:00,off_peak,0.0599,0,0,0.5877
SITE_0001,2023-01-10 02:00:00,off_peak,0.0595,0,0,0.5767
SITE_0001,2023-01-10 03:00:00,off_peak,0.0596,0,0,0.5828
SITE_0001,2023-01-10 04:00:00,off_peak,0.0612,0,0,0.5915
SITE_0001,2023-01-10 05:00:00,off_peak,0.0597,0,0,0.5976
SITE_0001,2023-01-10 06:00:00,shoulder,0.1082,0,0,0.6222
SITE_0001,2023-01-10 07:00:00,shoulder,0.1083,0,0,0.5544
SITE_0001,2023-01-10 08:00:00,peak,0.1625,1,0,0.5959
SITE_0001,2023-01-10 09:00:00,peak,0.1663,1,0,0.5985
SITE_0001,2023-01-10 10:00:00,peak,0.1663,1,0,0.5832
SITE_0001,2023-01-10 11:00:00,peak,0.163,1,0,0.6055
SITE_0001,2023-01-10 12:00:00,peak,0.1668,1,0,0.5774
SITE_0001,2023-01-10 13:00:00,shoulder,0.1114,1,0,0.5428
SITE_0001,2023-01-10 14:00:00,shoulder,0.112,1,0,0.6176
SITE_0001,2023-01-10 15:00:00,shoulder,0.1115,1,0,0.5366
SITE_0001,2023-01-10 16:00:00,shoulder,0.1092,1,0,0.5795
SITE_0001,2023-01-10 17:00:00,peak,0.1645,1,0,0.5423
SITE_0001,2023-01-10 18:00:00,peak,0.1672,1,0,0.5571
SITE_0001,2023-01-10 19:00:00,peak,0.1679,1,0,0.6011
SITE_0001,2023-01-10 20:00:00,peak,0.1661,1,0,0.5602
SITE_0001,2023-01-10 21:00:00,peak,0.1619,1,0,0.5726
SITE_0001,2023-01-10 22:00:00,shoulder,0.1082,0,0,0.5806
SITE_0001,2023-01-10 23:00:00,off_peak,0.0597,0,0,0.5864
SITE_0001,2023-01-11 00:00:00,off_peak,0.0609,0,0,0.551
SITE_0001,2023-01-11 01:00:00,off_peak,0.0603,0,0,0.5748
SITE_0001,2023-01-11 02:00:00,off_peak,0.0607,0,0,0.6324
SITE_0001,2023-01-11 03:00:00,off_peak,0.059,0,0,0.5459
SITE_0001,2023-01-11 04:00:00,off_peak,0.0594,0,0,0.564
SITE_0001,2023-01-11 05:00:00,off_peak,0.0603,0,0,0.5873
SITE_0001,2023-01-11 06:00:00,shoulder,0.1102,0,0,0.5799
SITE_0001,2023-01-11 07:00:00,shoulder,0.1098,0,0,0.6029
SITE_0001,2023-01-11 08:00:00,peak,0.1654,1,0,0.6256
SITE_0001,2023-01-11 09:00:00,peak,0.1646,1,0,0.6004
SITE_0001,2023-01-11 10:00:00,peak,0.1644,1,0,0.5738
SITE_0001,2023-01-11 11:00:00,peak,0.1643,1,0,0.5366
SITE_0001,2023-01-11 12:00:00,peak,0.1629,1,0,0.599
SITE_0001,2023-01-11 13:00:00,shoulder,0.1087,1,0,0.5571
SITE_0001,2023-01-11 14:00:00,shoulder,0.1091,1,0,0.6333
SITE_0001,2023-01-11 15:00:00,shoulder,0.1085,1,0,0.5976
SITE_0001,2023-01-11 16:00:00,shoulder,0.1083,1,0,0.5792
SITE_0001,2023-01-11 17:00:00,peak,0.1624,1,0,0.5666
SITE_0001,2023-01-11 18:00:00,peak,0.162,1,0,0.5975
SITE_0001,2023-01-11 19:00:00,peak,0.2178,1,1,0.6172
SITE_0001,2023-01-11 20:00:00,peak,0.1658,1,0,0.6128
SITE_0001,2023-01-11 21:00:00,peak,0.167,1,0,0.6019
SITE_0001,2023-01-11 22:00:00,shoulder,0.1103,0,0,0.6192
SITE_0001,2023-01-11 23:00:00,off_peak,0.0604,0,0,0.6234
SITE_0001,2023-01-12 00:00:00,off_peak,0.0606,0,0,0.6051
SITE_0001,2023-01-12 01:00:00,off_peak,0.0602,0,0,0.5638
SITE_0001,2023-01-12 02:00:00,off_peak,0.0607,0,0,0.5939
SITE_0001,2023-01-12 03:00:00,off_peak,0.0591,0,0,0.5583
SITE_0001,2023-01-12 04:00:00,off_peak,0.0612,0,0,0.6101
SITE_0001,2023-01-12 05:00:00,off_peak,0.0594,0,0,0.6227
SITE_0001,2023-01-12 06:00:00,shoulder,0.1096,0,0,0.5521
SITE_0001,2023-01-12 07:00:00,shoulder,0.1079,0,0,0.6187
SITE_0001,2023-01-12 08:00:00,peak,0.1631,1,0,0.5911
SITE_0001,2023-01-12 09:00:00,peak,0.1649,1,0,0.6187
SITE_0001,2023-01-12 10:00:00,peak,0.1664,1,0,0.5744
SITE_0001,2023-01-12 11:00:00,peak,0.1651,1,0,0.6142
SITE_0001,2023-01-12 12:00:00,peak,0.1674,1,0,0.6135
SITE_0001,2023-01-12 13:00:00,shoulder,0.1119,1,0,0.5993
SITE_0001,2023-01-12 14:00:00,shoulder,0.1088,1,0,0.5886
SITE_0001,2023-01-12 15:00:00,shoulder,0.1088,1,0,0.5748
SITE_0001,2023-01-12 16:00:00,shoulder,0.1098,1,0,0.6306
SITE_0001,2023-01-12 17:00:00,peak,0.1675,1,0,0.5864
SITE_0001,2023-01-12 18:00:00,peak,0.1681,1,0,0.5841
SITE_0001,2023-01-12 19:00:00,peak,0.1626,1,0,0.5966
SITE_0001,2023-01-12 20:00:00,peak,0.1619,1,0,0.5848
SITE_0001,2023-01-12 21:00:00,peak,0.1621,1,0,0.5534
SITE_0001,2023-01-12 22:00:00,shoulder,0.1105,0,0,0.5514
SITE_0001,2023-01-12 23:00:00,off_peak,0.0601,0,0,0.6073
SITE_0001,2023-01-13 00:00:00,off_peak,0.0606,0,0,0.6167
SITE_0001,2023-01-13 01:00:00,off_peak,0.0601,0,0,0.6104
SITE_0001,2023-01-13 02:00:00,off_peak,0.061,0,0,0.5855
SITE_0001,2023-01-13 03:00:00,off_peak,0.061,0,0,0.5594
SITE_0001,2023-01-13 04:00:00,off_peak,0.0593,0,0,0.5751
SITE_0001,2023-01-13 05:00:00,off_peak,0.0606,0,0,0.6029
SITE_0001,2023-01-13 06:00:00,shoulder,0.1108,0,0,0.6301
SITE_0001,2023-01-13 07:00:00,shoulder,0.1116,0,0,0.5606
SITE_0001,2023-01-13 08:00:00,peak,0.1643,1,0,0.5854
SITE_0001,2023-01-13 09:00:00,peak,0.1651,1,0,0.6118
SITE_0001,2023-01-13 10:00:00,peak,0.1676,1,0,0.6186
SITE_0001,2023-01-13 11:00:00,peak,0.1651,1,0,0.5981
SITE_0001,2023-01-13 12:00:00,peak,0.1675,1,0,0.6108
SITE_0001,2023-01-13 13:00:00,shoulder,0.1118,1,0,0.5831
SITE_0001,2023-01-13 14:00:00,shoulder,0.1108,1,0,0.5301
SITE_0001,2023-01-13 15:00:00,shoulder,0.1095,1,0,0.5513
SITE_0001,2023-01-13 16:00:00,shoulder,0.1091,1,0,0.5938
SITE_0001,2023-01-13 17:00:00,peak,0.167,1,0,0.5875
SITE_0001,2023-01-13 18:00:00,peak,0.1626,1,0,0.553
SITE_0001,2023-01-13 19:00:00,peak,0.1643,1,0,0.5608
SITE_0001,2023-01-13 20:00:00,peak,0.1651,1,0,0.6429
SITE_0001,2023-01-13 21:00:00,peak,0.164,1,0,0.5901
SITE_0001,2023-01-13 22:00:00,shoulder,0.1117,0,0,0.605
SITE_0001,2023-01-13 23:00:00,off_peak,0.059,0,0,0.5662
SITE_0001,2023-01-14 00:00:00,off_peak,0.0593,0,0,0.5681
SITE_0001,2023-01-14 01:00:00,off_peak,0.0602,0,0,0.5977
SITE_0001,2023-01-14 02:00:00,off_peak,0.0593,0,0,0.6099
SITE_0001,2023-01-14 03:00:00,off_peak,0.06,0,0,0.5806
SITE_0001,2023-01-14 04:00:00,off_peak,0.0591,0,0,0.5945
SITE_0001,2023-01-14 05:00:00,off_peak,0.0606,0,0,0.5485
SITE_0001,2023-01-14 06:00:00,shoulder,0.1112,0,0,0.5795
SITE_0001,2023-01-14 07:00:00,shoulder,0.1078,0,0,0.5941
SITE_0001,2023-01-14 08:00:00,peak,0.1617,1,0,0.5668
SITE_0001,2023-01-14 09:00:00,peak,0.1646,1,0,0.6129
SITE_0001,2023-01-14 10:00:00,peak,0.1642,1,0,0.5571
SITE_0001,2023-01-14 11:00:00,peak,0.1627,1,0,0.5805
SITE_0001,2023-01-14 12:00:00,peak,0.1657,1,0,0.5857
SITE_0001,2023-01-14 13:00:00,shoulder,0.1098,1,0,0.6028
SITE_0001,2023-01-14 14:00:00,shoulder,0.1083,1,0,0.5976
SITE_0001,2023-01-14 15:00:00,shoulder,0.1121,1,0,0.6062
SITE_0001,2023-01-14 16:00:00,shoulder,0.1078,1,0,0.6117
SITE_0001,2023-01-14 17:00:00,peak,0.1633,1,0,0.6032
SITE_0001,2023-01-14 18:00:00,peak,0.1652,1,0,0.5615
SITE_0001,2023-01-14 19:00:00,peak,0.1656,1,0,0.544
SITE_0001,2023-01-14 20:00:00,peak,0.1672,1,0,0.6257
SITE_0001,2023-01-14 21:00:00,peak,0.1649,1,0,0.5713
SITE_0001,2023-01-14 22:00:00,shoulder,0.1096,0,0,0.5937
SITE_0001,2023-01-14 23:00:00,off_peak,0.0607,0,0,0.6196
SITE_0001,2023-01-15 00:00:00,off_peak,0.0603,0,0,0.5606
SITE_0001,2023-01-15 01:00:00,off_peak,0.0605,0,0,0.6217
SITE_0001,2023-01-15 02:00:00,off_peak,0.0609,0,0,0.5697
SITE_0001,2023-01-15 03:00:00,off_peak,0.0602,0,0,0.5812
SITE_0001,2023-01-15 04:00:00,off_peak,0.0603,0,0,0.5988
SITE_0001,2023-01-15 05:00:00,off_peak,0.0589,0,0,0.5651
SITE_0001,2023-01-15 06:00:00,shoulder,0.1088,0,0,0.5812
SITE_0001,2023-01-15 07:00:00,shoulder,0.1114,0,0,0.6145
SITE_0001,2023-01-15 08:00:00,peak,0.1654,1,0,0.6108
SITE_0001,2023-01-15 09:00:00,peak,0.1677,1,0,0.5972
SITE_0001,2023-01-15 10:00:00,peak,0.162,1,0,0.5659
SITE_0001,2023-01-15 11:00:00,peak,0.1671,1,0,0.5257
SITE_0001,2023-01-15 12:00:00,peak,0.1643,1,0,0.5329
SITE_0001,2023-01-15 13:00:00,shoulder,0.1104,1,0,0.5643
SITE_0001,2023-01-15 14:00:00,shoulder,0.109,1,0,0.6046
SITE_0001,2023-01-15 15:00:00,shoulder,0.1092,1,0,0.5721
SITE_0001,2023-01-15 16:00:00,shoulder,0.1122,1,0,0.5657
SITE_0001,2023-01-15 17:00:00,peak,0.1656,1,0,0.587
SITE_0001,2023-01-15 18:00:00,peak,0.1658,1,0,0.5949
SITE_0001,2023-01-15 19:00:00,peak,0.1655,1,0,0.5732
SITE_0001,2023-01-15 20:00:00,peak,0.163,1,0,0.558
SITE_0001,2023-01-15 21:00:00,peak,0.165,1,0,0.5909
SITE_0001,2023-01-15 22:00:00,shoulder,0.1083,0,0,0.5909
SITE_0001,2023-01-15 23:00:00,off_peak,0.0608,0,0,0.5942
SITE_0001,2023-01-16 00:00:00,off_peak,0.0598,0,0,0.6136
SITE_0001,2023-01-16 01:00:00,off_peak,0.0592,0,0,0.6019
SITE_0001,2023-01-16 02:00:00,off_peak,0.0596,0,0,0.6069
SITE_0001,2023-01-16 03:00:00,off_peak,0.0601,0,0,0.5915
SITE_0001,2023-01-16 04:00:00,off_peak,0.0591,0,0,0.6253
