equipment_id,building_id,equipment_type,install_year,rated_power,design_efficiency,maintenance_interval_days,expected_life_years,control_strategy_type
EQUIP_14994040360A,BLDG_97A6D867807A,lighting_panel,2014,54.79,1.0,180,20,scheduled
EQUIP_C7DB6DC27E88,BLDG_97A6D867807A,pump,2009,12.24,1.0,120,15,sensor_based
EQUIP_CC6F20398E64,BLDG_51FCF39B49AD,split_ac,2023,13.65,2.632,90,12,manual
EQUIP_A0A1BF90534A,BLDG_51FCF39B49AD,lighting_panel,2023,41.72,1.0,180,20,sensor_based
EQUIP_99082BA06DDE,BLDG_51FCF39B49AD,lighting_panel,2021,36.67,1.0,180,20,manual
EQUIP_AE6D39CC5D62,BLDG_51FCF39B49AD,ahu,2022,48.55,1.0,60,15,scheduled
EQUIP_BD7D48023E16,BLDG_51FCF39B49AD,split_ac,2023,14.76,2.669,90,12,sensor_based
EQUIP_B6DFBE9CC263,BLDG_51FCF39B49AD,ahu,2023,40.62,1.0,60,15,sensor_based
EQUIP_4D022E2BAC65,BLDG_51FCF39B49AD,lighting_panel,2023,99.73,1.0,180,20,manual
EQUIP_770D29BC24ED,BLDG_13DD0E04671C,pump,2000,11.52,1.0,120,15,manual
EQUIP_F121D3684D08,BLDG_13DD0E04671C,pump,2015,6.57,1.0,120,15,manual
EQUIP_6102209AFBB3,BLDG_13DD0E04671C,chiller,2009,429.99,3.753,90,20,sensor_based
EQUIP_4883B435AA4B,BLDG_13DD0E04671C,chiller,2021,201.54,5.416,90,20,manual
EQUIP_B03386E99E36,BLDG_13DD0E04671C,lighting_panel,2004,20.41,1.0,180,20,sensor_based
EQUIP_2B7B779D25A9,BLDG_13DD0E04671C,ahu,2023,24.7,1.0,60,15,sensor_based
EQUIP_EF02A3E01B27,BLDG_0A98FB034BCD,lighting_panel,2023,32.07,1.0,180,20,scheduled
EQUIP_F4542D56FED0,BLDG_0A98FB034BCD,ahu,2022,15.76,1.0,60,15,scheduled
EQUIP_ED2793E89B0A,BLDG_0A98FB034BCD,ahu,2019,35.52,1.0,60,15,scheduled
EQUIP_7D3574840447,BLDG_0A98FB034BCD,lighting_panel,2018,78.92,1.0,180,20,scheduled
EQUIP_CEFD6C70B705,BLDG_8F5624D846EF,ahu,2021,11.23,1.0,60,15,sensor_based
EQUIP_ABEAF91F760C,BLDG_8F5624D846EF,lighting_panel,2017,57.68,1.0,180,20,sensor_based
EQUIP_1D7E0ECF5A77,BLDG_8F5624D846EF,chiller,2016,87.74,3.901,90,20,scheduled
EQUIP_59D8E5588222,BLDG_8F5624D846EF,ahu,2018,9.13,1.0,60,15,scheduled
EQUIP_8219FF74442D,BLDG_4FA9C5254239,split_ac,2018,2.96,3.504,90,12,manual
EQUIP_1F17E72BA6F1,BLDG_4FA9C5254239,ahu,2007,21.87,1.0,60,15,manual
EQUIP_94B186EED81D,BLDG_4FA9C5254239,lighting_panel,2015,80.18,1.0,180,20,scheduled
EQUIP_7F92D886D8AB,BLDG_4FA9C5254239,ahu,2009,39.15,1.0,60,15,sensor_based
EQUIP_3B575462DAE6,BLDG_4FA9C5254239,split_ac,2007,2.34,2.931,90,12,manual
EQUIP_3162806879E5,BLDG_C6B297082F5D,lighting_panel,2021,55.14,1.0,180,20,scheduled
EQUIP_56FF915ABAC5,BLDG_C6B297082F5D,split_ac,2011,4.19,2.977,90,12,sensor_based
EQUIP_D12979F4282B,BLDG_C6B297082F5D,lighting_panel,2016,10.97,1.0,180,20,scheduled
EQUIP_8C4091637DF2,BLDG_C6B297082F5D,lighting_panel,2019,6.56,1.0,180,20,manual
EQUIP_4DB3B6DD7690,BLDG_C6B297082F5D,lighting_panel,2006,32.67,1.0,180,20,scheduled
EQUIP_FEB5326543CC,BLDG_C6B297082F5D,split_ac,2020,9.5,3.829,90,12,manual
EQUIP_CD5742B8E437,BLDG_C6B297082F5D,lighting_panel,2013,11.43,1.0,180,20,sensor_based
EQUIP_2744A3FB9906,BLDG_5B49342E24B6,chiller,2012,443.0,3.609,90,20,scheduled
EQUIP_854FF2696D3A,BLDG_5B49342E24B6,refrigeration_unit,2008,22.92,2.714,90,12,manual
EQUIP_702C72B9685A,BLDG_5B49342E24B6,refrigeration_unit,2007,22.52,3.257,90,12,sensor_based
EQUIP_32F922C4566D,BLDG_5B49342E24B6,refrigeration_unit,2004,3.24,3.092,90,12,sensor_based
EQUIP_E580E4A31A15,BLDG_5B49342E24B6,ahu,2021,25.91,1.0,60,15,sensor_based
EQUIP_7D076C7EB4D6,BLDG_5B49342E24B6,ahu,2004,7.84,1.0,60,15,scheduled
EQUIP_B4EB61A82D7A,BLDG_5B49342E24B6,chiller,2009,140.72,5.478,90,20,manual
EQUIP_0461FAB61D77,BLDG_CD80C6ACBFC2,pump,2023,12.55,1.0,120,15,scheduled
EQUIP_707731BFAA9D,BLDG_CD80C6ACBFC2,pump,2008,22.85,1.0,120,15,scheduled
EQUIP_8130A8CDCD43,BLDG_CD80C6ACBFC2,chiller,2017,172.95,5.498,90,20,scheduled
EQUIP_11F8328AE17B,BLDG_CD80C6ACBFC2,lighting_panel,2021,89.99,1.0,180,20,manual
EQUIP_87863502CABA,BLDG_CD80C6ACBFC2,lighting_panel,2022,39.9,1.0,180,20,scheduled
EQUIP_0E6EAB58A3A0,BLDG_A45B5D99DA5C,lighting_panel,2002,45.91,1.0,180,20,manual
EQUIP_79721FE636D4,BLDG_A45B5D99DA5C,server_rack,2009,7.78,1.0,365,5,sensor_based
EQUIP_DCD248D8DB34,BLDG_A45B5D99DA5C,pump,2009,13.93,1.0,120,15,manual
EQUIP_68395FB573A4,BLDG_B0BD29BB0A5C,ahu,2016,6.91,1.0,60,15,scheduled
EQUIP_CF46B3972ED4,BLDG_B0BD29BB0A5C,lighting_panel,2015,31.08,1.0,180,20,manual
EQUIP_C1021E317EC7,BLDG_B0BD29BB0A5C,split_ac,2023,13.48,3.227,90,12,sensor_based
EQUIP_1B69D7610F83,BLDG_B0BD29BB0A5C,lighting_panel,2007,95.51,1.0,180,20,sensor_based
EQUIP_FDC43F3506EC,BLDG_B0BD29BB0A5C,lighting_panel,2016,8.31,1.0,180,20,sensor_based
EQUIP_309FAE55B80D,BLDG_B0BD29BB0A5C,ahu,2013,22.23,1.0,60,15,sensor_based
EQUIP_93E182F2056F,BLDG_3B6A296EE843,lighting_panel,2011,40.34,1.0,180,20,sensor_based
EQUIP_220D1A8B2DF2,BLDG_3B6A296EE843,ahu,2016,21.51,1.0,60,15,scheduled
EQUIP_5031CD046FA5,BLDG_3B6A296EE843,ahu,2003,6.17,1.0,60,15,sensor_based
EQUIP_8E29DE36844B,BLDG_3B6A296EE843,lighting_panel,2017,16.19,1.0,180,20,sensor_based
EQUIP_7AB306CEC276,BLDG_B6C21509560D,ahu,2019,17.85,1.0,60,15,scheduled
EQUIP_BA72E37E9177,BLDG_B6C21509560D,ahu,2011,11.11,1.0,60,15,manual
EQUIP_764D018A645F,BLDG_B6C21509560D,lighting_panel,2011,82.0,1.0,180,20,scheduled
EQUIP_61F9CF3835E4,BLDG_B6C21509560D,refrigeration_unit,2021,3.82,3.084,90,12,scheduled
EQUIP_090A6CA1F294,BLDG_B6C21509560D,ahu,2021,36.93,1.0,60,15,manual
EQUIP_E273FAFAD514,BLDG_B6C21509560D,refrigeration_unit,2018,8.28,3.97,90,12,manual
EQUIP_C87289050D38,BLDG_82BB59189544,lighting_panel,2012,39.29,1.0,180,20,scheduled
EQUIP_BB2E577A8740,BLDG_82BB59189544,ahu,2021,44.79,1.0,60,15,scheduled
EQUIP_0326C3E671FF,BLDG_82BB59189544,lighting_panel,2020,44.03,1.0,180,20,sensor_based
EQUIP_35E968783C26,BLDG_82BB59189544,chiller,2014,487.57,5.106,90,20,scheduled
EQUIP_475DD3A7D4EE,BLDG_A882B7B29127,pump,2006,26.46,1.0,120,15,sensor_based
EQUIP_ACFE5766FC0C,BLDG_A882B7B29127,ahu,2006,24.47,1.0,60,15,manual
EQUIP_1DB0520FC5EE,BLDG_A882B7B29127,chiller,2018,118.86,3.912,90,20,scheduled
EQUIP_1F471D023F96,BLDG_A882B7B29127,ahu,2013,47.64,1.0,60,15,scheduled
EQUIP_96706F095480,BLDG_A882B7B29127,chiller,2010,138.34,5.891,90,20,scheduled
EQUIP_0F265FCEA642,BLDG_A882B7B29127,ahu,2022,18.63,1.0,60,15,sensor_based
EQUIP_584E2E42CE54,BLDG_C7F36F7B73E7,ahu,2005,34.64,1.0,60,15,sensor_based
EQUIP_06DF5824314A,BLDG_C7F36F7B73E7,refrigeration_unit,2018,3.15,3.728,90,12,manual
EQUIP_41739BD67C07,BLDG_C7F36F7B73E7,chiller,2020,396.96,4.162,90,20,manual
EQUIP_0A467CF30D35,BLDG_C7F36F7B73E7,lighting_panel,2019,65.7,1.0,180,20,sensor_based
EQUIP_78F2CAABABFE,BLDG_E72986DD82A0,pump,2020,15.01,1.0,120,15,sensor_based
EQUIP_BAE63B7FF7D0,BLDG_E72986DD82A0,lighting_panel,2020,48.09,1.0,180,20,manual
EQUIP_8F3262A49238,BLDG_E72986DD82A0,lighting_panel,2022,51.0,1.0,180,20,sensor_based
EQUIP_653C2F739CB9,BLDG_E72986DD82A0,ahu,2021,43.77,1.0,60,15,scheduled
EQUIP_E164A7D3C6B0,BLDG_E72986DD82A0,lighting_panel,2018,77.26,1.0,180,20,manual
EQUIP_D06FAE5F92FF,BLDG_E72986DD82A0,pump,2019,14.53,1.0,120,15,manual
EQUIP_EFB51BE8B758,BLDG_E72986DD82A0,ahu,2017,7.28,1.0,60,15,sensor_based
EQUIP_80571285D06E,BLDG_D6784B58F566,ahu,2012,41.61,1.0,60,15,sensor_based
EQUIP_566D0C3C0AAC,BLDG_D6784B58F566,pump,2013,23.13,1.0,120,15,sensor_based
EQUIP_A5A0393AAE82,BLDG_D6784B58F566,lighting_panel,2022,88.51,1.0,180,20,manual
EQUIP_553383412D31,BLDG_D6784B58F566,lighting_panel,2023,48.44,1.0,180,20,sensor_based
EQUIP_7927FC305BC5,BLDG_D6784B58F566,pump,2008,2.47,1.0,120,15,sensor_based
EQUIP_791337065FA0,BLDG_D6784B58F566,lighting_panel,2016,55.99,1.0,180,20,scheduled
EQUIP_97F52CA49ECC,BLDG_787E6697847E,pump,2023,11.61,1.0,120,15,manual
EQUIP_E87A0AB02C8E,BLDG_787E6697847E,lighting_panel,2001,59.18,1.0,180,20,sensor_based
EQUIP_37933BF783BD,BLDG_787E6697847E,pump,2002,12.2,1.0,120,15,sensor_based
EQUIP_7E77EC074C86,BLDG_787E6697847E,pump,2019,20.73,1.0,120,15,manual
EQUIP_80118873255B,BLDG_A09A2484C426,pump,2010,17.18,1.0,120,15,manual
EQUIP_AEFF2AEB692E,BLDG_A09A2484C426,ahu,2019,27.91,1.0,60,15,manual
EQUIP_B0DFC9C58E9B,BLDG_A09A2484C426,chiller,2004,371.12,5.51,90,20,sensor_based
EQUIP_69DADF072276,BLDG_A09A2484C426,lighting_panel,2004,62.59,1.0,180,20,scheduled
EQUIP_2E64AB923058,BLDG_A09A2484C426,server_rack,2010,4.93,1.0,365,5,sensor_based
EQUIP_A8040BDE0443,BLDG_A09A2484C426,pump,2018,10.75,1.0,120,15,sensor_based
EQUIP_7F583539C3E1,BLDG_45FF699F302D,lighting_panel,2018,33.48,1.0,180,20,scheduled
EQUIP_ECD16FBBD958,BLDG_45FF699F302D,ahu,2021,9.93,1.0,60,15,scheduled
EQUIP_870DDC78C43B,BLDG_45FF699F302D,lighting_panel,2022,64.78,1.0,180,20,scheduled
EQUIP_59D02F88C97D,BLDG_45FF699F302D,lighting_panel,2018,59.88,1.0,180,20,sensor_based
EQUIP_FC70EB2C23E4,BLDG_45FF699F302D,ahu,2005,28.59,1.0,60,15,scheduled
EQUIP_C9B7FD12A471,BLDG_45FF699F302D,split_ac,2021,6.36,3.645,90,12,sensor_based
EQUIP_8C10C7D49AC4,BLDG_C4DFAF37662B,ahu,2022,24.85,1.0,60,15,scheduled
EQUIP_D3A28ACC92CB,BLDG_C4DFAF37662B,ahu,2023,27.58,1.0,60,15,scheduled
EQUIP_1F29DE07DE0C,BLDG_C4DFAF37662B,chiller,2022,283.41,4.902,90,20,sensor_based
EQUIP_B20500D467BE,BLDG_867652501462,lighting_panel,2012,34.81,1.0,180,20,sensor_based
EQUIP_AE973FDDA8EA,BLDG_867652501462,ahu,2017,20.94,1.0,60,15,sensor_based
EQUIP_303BA5B63014,BLDG_867652501462,lighting_panel,2020,81.35,1.0,180,20,scheduled
EQUIP_F87DEA3F24E6,BLDG_867652501462,split_ac,2007,7.02,3.097,90,12,scheduled
EQUIP_7005FBC69634,BLDG_867652501462,ahu,2022,14.33,1.0,60,15,scheduled
EQUIP_369E6F437A8A,BLDG_867652501462,ahu,2011,30.22,1.0,60,15,sensor_based
EQUIP_4A335ED0DF0A,BLDG_D673B0E04EF3,pump,2007,17.63,1.0,120,15,scheduled
EQUIP_5F743E1393A0,BLDG_D673B0E04EF3,pump,2008,9.42,1.0,120,15,sensor_based
EQUIP_34424853EDD8,BLDG_D673B0E04EF3,chiller,2015,465.8,5.14,90,20,sensor_based
EQUIP_8CACF629FF39,BLDG_D673B0E04EF3,lighting_panel,2010,24.2,1.0,180,20,sensor_based
EQUIP_78DEBF1F64EA,BLDG_D673B0E04EF3,pump,2008,4.17,1.0,120,15,manual
EQUIP_5488E3B3B441,BLDG_944E3E47B816,chiller,2022,457.33,4.064,90,20,manual
EQUIP_2D61F3E4F599,BLDG_944E3E47B816,chiller,2013,235.99,5.293,90,20,manual
EQUIP_C28FD0ED5CED,BLDG_944E3E47B816,ahu,2012,48.4,1.0,60,15,manual
EQUIP_68CDDDE04679,BLDG_944E3E47B816,lighting_panel,2022,93.83,1.0,180,20,scheduled
EQUIP_885D10FAD2D0,BLDG_3EB04419BAFC,refrigeration_unit,2020,9.99,2.118,90,12,manual
EQUIP_403A88743DBE,BLDG_3EB04419BAFC,ahu,2023,38.24,1.0,60,15,manual
EQUIP_D29E744FF22A,BLDG_3EB04419BAFC,ahu,2021,44.7,1.0,60,15,manual
EQUIP_D89C1B1F0DFA,BLDG_3EB04419BAFC,lighting_panel,2022,22.7,1.0,180,20,scheduled
EQUIP_D62EF7DE4C7C,BLDG_40239C1D5245,chiller,2020,305.58,3.768,90,20,scheduled
EQUIP_57FAB4D02D29,BLDG_40239C1D5245,pump,2023,29.68,1.0,120,15,scheduled
EQUIP_8CBAC62F7539,BLDG_40239C1D5245,ahu,2023,17.28,1.0,60,15,scheduled
EQUIP_56484E38C2D7,BLDG_2DCDC361AD13,lighting_panel,2018,73.27,1.0,180,20,scheduled
EQUIP_CAA98F324084,BLDG_2DCDC361AD13,pump,2023,20.56,1.0,120,15,sensor_based
EQUIP_202A69F3C146,BLDG_2DCDC361AD13,lighting_panel,2020,53.95,1.0,180,20,sensor_based
EQUIP_E0AE8E46F193,BLDG_2DCDC361AD13,chiller,2016,491.76,4.694,90,20,manual
EQUIP_13D76ED08A96,BLDG_66551E670BAD,pump,2012,7.83,1.0,120,15,scheduled
EQUIP_F1BF5F0A485A,BLDG_66551E670BAD,pump,2018,21.96,1.0,120,15,sensor_based
EQUIP_7FCF245CC2B3,BLDG_66551E670BAD,pump,2022,7.85,1.0,120,15,scheduled
EQUIP_A06753172F6A,BLDG_1E28F06AAB80,ahu,2012,35.87,1.0,60,15,sensor_based
EQUIP_66ACD6963DF7,BLDG_1E28F06AAB80,pump,2022,4.41,1.0,120,15,scheduled
EQUIP_41EB95DFAA4A,BLDG_1E28F06AAB80,pump,2019,7.4,1.0,120,15,scheduled
EQUIP_5E272F0EEFD1,BLDG_1E28F06AAB80,ahu,2014,38.65,1.0,60,15,scheduled
EQUIP_6262DA5F1E5A,BLDG_1E28F06AAB80,lighting_panel,2017,81.19,1.0,180,20,manual
EQUIP_98313E9833FB,BLDG_C48962C98964,chiller,2023,287.68,4.404,90,20,sensor_based
EQUIP_AF983610FEC3,BLDG_C48962C98964,chiller,2016,422.95,5.757,90,20,manual
EQUIP_E580F0EEBF9B,BLDG_C48962C98964,ahu,2018,19.77,1.0,60,15,manual
EQUIP_9EDFF7D53791,BLDG_C48962C98964,ahu,2023,9.09,1.0,60,15,manual
EQUIP_0B74811CED09,BLDG_C48962C98964,lighting_panel,2018,53.76,1.0,180,20,manual
EQUIP_3D18FFD3691D,BLDG_C48962C98964,lighting_panel,2020,73.71,1.0,180,20,manual
EQUIP_FAE54C33E7A3,BLDG_C48962C98964,ahu,2017,7.04,1.0,60,15,manual
EQUIP_45D038597023,BLDG_78650260FAE1,chiller,2023,452.4,5.965,90,20,scheduled
EQUIP_AFCB0A9235A4,BLDG_78650260FAE1,chiller,2013,233.99,5.422,90,20,sensor_based
EQUIP_EAFC4FC20D2B,BLDG_78650260FAE1,lighting_panel,2014,99.32,1.0,180,20,scheduled
EQUIP_11E2572B4A88,BLDG_78650260FAE1,lighting_panel,2010,69.86,1.0,180,20,sensor_based
EQUIP_DA7A37F30F40,BLDG_78650260FAE1,ahu,2019,43.71,1.0,60,15,sensor_based
EQUIP_5997071CD816,BLDG_78650260FAE1,lighting_panel,2017,17.1,1.0,180,20,manual
